headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Man Convicted in Deadly Church Shooting in Tennessee,2019-05-24,-0.9451,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.9451}",U.S.,"Emanuel K. Samson, 27, was found guilty of first-degree murder and more than 40 other criminal counts related to a 2017 shooting that left one person dead and seven others wounded.","['Murders, Attempted Murders and Homicides', 'Blacks', 'Black People']",https://www.nytimes.com/2019/05/24/us/tennessee-church-shooting.html,article,News
How Trump Wins Next Year,2019-05-25,0.7269,"{'neg': 0.059, 'neu': 0.758, 'pos': 0.183, 'compound': 0.7269}",Opinion,What’s happened in India and Australia is a warning to the left.,['Elections'],https://www.nytimes.com/2019/05/24/opinion/trump-elections-india-australia.html,article,Op-Ed
"E.P.A. Experts Objected to ‘Misleading’ Agency Smog Decision, Emails Show",2019-05-25,-0.4588,"{'neg': 0.098, 'neu': 0.871, 'pos': 0.031, 'compound': -0.4588}",Climate,One agency scientist expressed “disbelief” over a 2018 decision to exempt most of southeastern Wisconsin from federal limits on smog. ,"['Environment', 'Air Pollution', 'United States Politics and Government', 'Regulation and Deregulation of Industry', 'Factories and Manufacturing']",https://www.nytimes.com/2019/05/24/climate/epa-pruitt-wisconsin-foxconn.html,article,News
Quotation of the Day: Toughness Became Trap for May in Brexit Crisis,2019-05-25,-0.3612,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3612}",Today’s Paper,"Quotation of the Day for Saturday, May 25, 2019.",[],https://www.nytimes.com/2019/05/24/todayspaper/quotation-of-the-day-toughness-became-trap-for-may-in-brexit-crisis.html,article,News
Epic Narratives,2019-05-25,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,"Mateys, Paolo Pasco’s puzzle sends us under the sea.",['Crossword Puzzles'],https://www.nytimes.com/2019/05/24/crosswords/daily-puzzle-2019-05-25.html,article,News
"Corrections: May 25, 2019",2019-05-25,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections appearing in print on Saturday, May 25, 2019.",[],https://www.nytimes.com/2019/05/24/pageoneplus/corrections-may-25-2019.html,article,Correction
"In Shift, Trump Will Pick Kenneth Cuccinelli to Oversee Legal Immigration",2019-05-25,0.5106,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.5106}",U.S.,"Mr. Cuccinelli, who was expected to coordinate immigration policy, will instead be chosen to take over for the embattled head of United States Citizenship and Immigration Services.","['United States Politics and Government', 'Immigration and Emigration', 'Appointments and Executive Changes']",https://www.nytimes.com/2019/05/24/us/politics/kenneth-cuccinelli-l-francis-cissna.html,article,News
Federal Judge Blocks Part of Trump’s Plan to Build Border Wall,2019-05-25,-0.128,"{'neg': 0.069, 'neu': 0.871, 'pos': 0.06, 'compound': -0.128}",U.S.,A federal judge in California granted a preliminary injunction against the administration that prevents it from redirecting funds to build the wall.,"['Border Barriers', 'Immigration and Emigration', 'Decisions and Verdicts', 'United States Politics and Government']",https://www.nytimes.com/2019/05/24/us/judge-blocks-trump-border-wall.html,article,News
Nike Says It Will End Financial Penalties for Pregnant Athletes,2019-05-25,-0.6249,"{'neg': 0.096, 'neu': 0.904, 'pos': 0.0, 'compound': -0.6249}",Sports,"In response to criticism, the company said it would waive performance-pay reductions for 12 months for athletes “who decide to have a baby.”","['Pregnancy and Childbirth', 'Athletics and Sports', 'Track and Field', 'Women and Girls', 'Running']",https://www.nytimes.com/2019/05/24/sports/nike-pregnant-athletes.html,article,News
Small Plane Crashes Off Florida Coast After Losing Communication,2019-05-25,-0.2263,"{'neg': 0.055, 'neu': 0.888, 'pos': 0.057, 'compound': -0.2263}",U.S.,"The pilot of the Cessna Citation V is the only person believed to have been aboard the plane, which was approached by fighter jets.","['Aviation Accidents, Safety and Disasters', 'AIRLINES AND AIRPLANES']",https://www.nytimes.com/2019/05/24/us/plane-crash-fort-lauderdale.html,article,News
