ID,song,artist,track_length,track_popularity,valence,danceability,energy,loudness,tempo
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,207301,80,0.138,0.639,0.703,-6.33,169.888
28suql59B0WWfWtL3rZfDy,Freedom Was A Highway,Jimmie Allen,212720,59,0.666,0.563,0.847,-4.493,96.06
1TlTzdsEpgfsmbuNfYmWfG,For Tonight,Giveon,192257,71,0.177,0.606,0.513,-8.756,79.9
5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,184634,70,0.891,0.95,0.693,-3.424,130.02
5SulrwmIUDbU5TQQtoYHhL,Like A Lady,Lady A,181200,52,0.771,0.637,0.932,-3.545,95.511
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,138293,79,0.793,0.912,0.655,-6.029,91.942
0BFGDkrXAneskCJdudSCro,Scorpio,Moneybagg Yo,165772,64,0.273,0.736,0.532,-7.151,84.983
6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,Latto,173182,74,0.813,0.935,0.807,-3.838,106.017
1yRke3PmsyFrYlFZOAkABk,half of my hometown (feat. Kenny Chesney),Kelsea Ballerini,231832,70,0.286,0.57,0.618,-4.966,138.034
7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,168227,82,0.396,0.831,0.554,-9.998,140.026
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,Drake,204346,73,0.171,0.84,0.744,-4.751,83.737
5nhW8I46uDE5sc5ouEbzao,Who's In Your Head,Jonas Brothers,183536,64,0.821,0.704,0.778,-5.331,101.025
61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),Drake,296568,70,0.147,0.686,0.385,-8.35,143.07
7AoU7WDzb1zr2p4ldkOokr,Just About Over You,Priscilla Block,179213,57,0.523,0.504,0.525,-5.835,149.874
2pUQX4d3Cjh3umGkVz0XyI,To Be Loved By You,Parker McCollum,199680,64,0.488,0.475,0.805,-4.456,145.976
0eu4C55hL6x29mmeAjytzC,Life Goes On,Oliver Tree,161803,77,0.569,0.7,0.49,-5.187,79.982
29he0Joo5sz2607A6ZBT6H,Come Through (feat. Chris Brown),H.E.R.,214093,67,0.18,0.612,0.423,-8.062,135.841
2cEnKRR4dYBB2VA1mjlb1z,Nevada,YoungBoy Never Broke Again,155737,73,0.238,0.777,0.59,-8.741,147.978
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,154983,84,0.637,0.721,0.738,-4.77,119.976
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,215506,88,0.178,0.442,0.612,-7.222,180.917
1De7cOMrdUnVpjWBaowMg4,Ex For A Reason (with JT from City Girls),Summer Walker,225502,69,0.566,0.726,0.728,-5.775,115.047
6kksmL4t09IgxhajuVDDxR,late at night,Roddy Ricch,174549,70,0.141,0.621,0.405,-11.26,98.427
7zjEyeBsaw9gV0jofJLfOM,Livin It Up (with Post Malone & A$AP Rocky),Young Thug,210906,72,0.765,0.767,0.313,-12.059,82.582
0uqsdBw9KvD8jSWmfMmMAp,Stressed (with J. Cole & T-Shyne),Young Thug,220412,51,0.344,0.707,0.442,-10.395,81.021
36Mtea491T9xLpYuaY86EU,Rich Shit,YoungBoy Never Broke Again,155675,49,0.475,0.882,0.644,-8.341,148.133
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,206710,84,0.44,0.644,0.648,-4.601,179.951
2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Drake,336511,78,0.496,0.423,0.667,-7.012,86.743
4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go,Coldplay,241595,76,0.155,0.592,0.342,-8.93,130.953
3yFsyy1hw7v31NBrRJX2QM,You Time,Scotty McCreery,192026,55,0.601,0.55,0.767,-6.281,104.016
03kozlqpm5twrblZia0m9j,Peepin Out The Window (with Future & Bslime),Young Thug,237262,50,0.22,0.509,0.51,-9.522,82.407
58T4yPLn4NjBYXfRxeweyM,Woo Baby (feat. Chris Brown),Pop Smoke,156000,71,0.284,0.563,0.672,-7.226,99.772
25r6MZ4Gtd76l43qnZI1DG,Flocky Flocky (feat. Travis Scott),Don Toliver,183513,65,0.194,0.8,0.541,-5.05,135.99
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,84,0.464,0.677,0.696,-6.181,90.03
4fSIb4hdOQ151TILNsSEaF,Todo De Ti,Rauw Alejandro,199604,80,0.342,0.78,0.718,-3.605,127.949
1UYfAU2bwgjaM5rIIPQleC,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Chase Rice,160839,60,0.724,0.627,0.678,-4.691,100.032
2DTpP3caqX3QdJIEoS83mD,Your Heart,Joyner Lucas,198620,68,0.754,0.861,0.637,-7.701,87.006
0z8hI3OPS8ADPWtoCjjLl6,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,184104,78,0.494,0.776,0.808,-4.501,123.988
027269uzraETHuoG6aMs6a,Waves,Luke Bryan,228440,63,0.371,0.494,0.771,-4.309,136.053
2CMVajzxRuxsFNzYFkzjTb,Life Support,YoungBoy Never Broke Again,233513,59,0.588,0.715,0.625,-5.58,147.97
14RtRKcWhxg2qPGLMR21tf,Bad Morning,YoungBoy Never Broke Again,229333,58,0.663,0.662,0.798,-5.332,134.999
4s7TIubkdsgdtDEDFEAYVL,Intro (Hate on Me),Meek Mill,174805,53,0.309,0.647,0.823,-4.074,150.995
0QULNNd9z5s35entfiiXoa,Drunk (And I Don't Wanna Go Home),Elle King,245625,73,0.626,0.612,0.884,-4.4,119.991
6jjYDGxVJsWS0a5wlVF5vS,Butter,BTS,164952,79,0.695,0.759,0.459,-5.187,109.997
