headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
"The Latest Debate: 10 Democrats, Vying to Take Command",2019-09-13,-0.8442,0.2222222222222222,Opinion,"Readers discuss the Democrats’ “circular firing squad,” Medicare for All, open borders, record players and assault weapons.","['Debates (Political)', 'Medicare', 'Gun Control', 'Presidential Election of 2020']",https://www.nytimes.com/2019/09/13/opinion/letters/democrats-debate.html,article,Letter,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.8442}"
New York Uncovers $1 Billion in Sackler Family Wire Transfers,2019-09-13,0.0,0.12515151515151515,Health,"In a court filing, the state attorney general’s office says that it has found new account transfers by members of the family that owns Purdue Pharma, the maker of opioids.","['Opioids and Opiates', 'OxyContin (Drug)', 'Suits and Litigation (Civil)', 'your-feed-healthcare']",https://www.nytimes.com/2019/09/13/health/sacklers-purdue-opioids.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Political Ad Attacking AOC: ‘Beyond the Pale’,2019-09-13,-0.8074,-0.24904761904761902,Opinion,A Catholic nun is shocked that ABC would run an ad with “horrific images” during the Democratic debate.,"['Political Advertising', 'United States Politics and Government']",https://www.nytimes.com/2019/09/13/opinion/letters/alexandria-ocasio-cortez-aoc-abc.html,article,Letter,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.8074}"
Kanye West’s New Yeezy Shoes Draw Comparisons to Crocs and a Colander,2019-09-13,0.0,0.07575757575757575,Style,"White, slip-on and dotted with holes, the unreleased shoes got decidedly mixed reviews after pictures of them emerged.","['Shoes and Boots', 'Social Media']",https://www.nytimes.com/2019/09/13/style/kanye-west-crocs-yeezy.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Liz Cheney, Tart-Tongued Fighter, Is Warring With Rand Paul Over Who’s Trumpier",2019-09-13,-0.9221,0.22916666666666663,U.S.,"Ms. Cheney, the No. 3 House Republican, has supplanted her father, Dick Cheney, as the most combative Cheney in Washington. She usually attacks Democrats, but not this time.","['United States Politics and Government', 'Conservatism (US Politics)']",https://www.nytimes.com/2019/09/13/us/politics/liz-cheney-trump-paul.html,article,News,"{'neg': 0.205, 'neu': 0.776, 'pos': 0.018, 'compound': -0.9221}"
What Will It Take to Get Your Vote in October?,2019-09-13,0.0772,0.05555555555555555,World,Canadian election campaigns have shifted public opinion in recent years. We want to know what it will take to get your vote on Oct. 21.,"['Politics and Government', 'Elections', 'Canadian Federal Election (2019)']",https://www.nytimes.com/2019/09/13/world/canada/vote-canada-election-2019.html,article,News,"{'neg': 0.0, 'neu': 0.974, 'pos': 0.026, 'compound': 0.0772}"
Dior Finally Says No to Sauvage,2019-09-13,-0.5719,0.08888888888888889,Style,Why luxury fashion and cultural appropriation are on a collision course.,"['Fashion and Apparel', 'Native Americans', 'Social Media', 'ADVERTISING AND MARKETING', 'your-feed-fashion']",https://www.nytimes.com/2019/09/13/style/dior-sauvage-cultural-appropriation.html,article,News,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.5719}"
The Critters Doing $114 Million in Damage to Brooklyn’s Piers,2019-09-13,-0.8087,-0.11616161616161617,New York,"Marine borers have come roaring back in New York Harbor, threatening almost anything in the water made of wood.","['Water Pollution', 'Wood and Wood Products', 'MARINE BORERS (SHIPWORMS)']",https://www.nytimes.com/2019/09/13/nyregion/ny-harbor-wood-eating-shipworms.html,article,News,"{'neg': 0.189, 'neu': 0.764, 'pos': 0.047, 'compound': -0.8087}"
"After Fleeing North Korea, Women Get Trapped as Cybersex Slaves in China",2019-09-13,-0.9369,-0.13333333333333336,World,"A growing number of North Korean women are smuggled from their country and trafficked into the sex trade in China, and forced to perform sex acts online for clients.","['Politics and Government', 'Human Trafficking', 'Women and Girls', 'Sex Crimes', 'Kidnapping and Hostages', 'Refugees and Displaced Persons']",https://www.nytimes.com/2019/09/13/world/asia/north-korea-cybersex-china.html,article,News,"{'neg': 0.216, 'neu': 0.764, 'pos': 0.02, 'compound': -0.9369}"
"Iger Departs Board of Apple, Disney’s New Streaming Competitor",2019-09-13,0.0,0.101010101010101,Business Day,"Robert A. Iger, Disney’s chief executive and chairman, had been on the board since 2011. But both companies will debut streaming services next month.","['Boards of Directors', 'Video Recordings, Downloads and Streaming', 'Appointments and Executive Changes']",https://www.nytimes.com/2019/09/13/business/iger-apple-board.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Trump’s Dorian Tweet Whips Up a Fight Over a Science Powerhouse,2019-09-13,-0.6369,0.15416666666666665,Climate,"The controversy has dragged one of the country's preeminent research agencies, famous for being anonymous, into the spotlight it long avoided. ","['Research', 'Weather', 'Global Warming', 'United States Politics and Government', 'Hurricane Dorian (2019)']",https://www.nytimes.com/2019/09/13/climate/trump-noaa-hurricane-tweet.html,article,News,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.6369}"
"Sackler Family, Felicity Huffman, Peanuts: Your Friday Evening Briefing",2019-09-13,0.0,0.16666666666666666,Briefing,Here’s what you need to know at the end of the day.,[],https://www.nytimes.com/2019/09/13/briefing/sackler-family-felicity-huffman-peanuts.html,article,briefing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"For His First Museum Show in 15 Years, John Currin Turns His Gaze to Men",2019-09-13,0.0,0.20833333333333331,T Magazine,"The artist, who made his name with his polarizing but masterly portraits of women, discusses his lesser-known paintings.","['Culture (Arts)', 'Museums', 'Art']",https://www.nytimes.com/2019/09/13/t-magazine/john-currin.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Top Immigration Judge Departs Amid Broader Discontent Over Trump Policies,2019-09-13,0.34,0.41666666666666663,U.S.,"The judge gave no reason for his departure, but it comes on the heels of a shake-up among the top leaders of the immigration courts.","['Immigration and Emigration', 'Courts and the Judiciary', 'Appointments and Executive Changes', 'Asylum, Right of', 'Illegal Immigration', 'Border Barriers', 'United States Politics and Government']",https://www.nytimes.com/2019/09/13/us/politics/immigration-courts-judge.html,article,News,"{'neg': 0.028, 'neu': 0.883, 'pos': 0.088, 'compound': 0.34}"
"Bahamas says undocumented Haitians are safe, for now",2019-09-13,0.3612,0.275,World,"More than 2,000 people evacuated to Nassau from ravaged islands, almost all Haitian, are in shelters with nowhere to go. ‘Some dogs are living better.’","['Hurricane Dorian (2019)', 'Immigration and Emigration']",https://www.nytimes.com/2019/09/13/world/americas/bahamas-dorian-haitians.html,article,News,"{'neg': 0.024, 'neu': 0.926, 'pos': 0.05, 'compound': 0.3612}"
"Anne Rivers Siddons, Novelist Whose Muse Was the New South, Dies at 83",2019-09-13,0.765,0.12547348484848483,Books,She found inspiration in her Georgia upbringing and in Atlanta’s evolution into a major postwar city.,"['Deaths (Obituaries)', 'Writing and Writers', 'Books and Literature', 'Women and Girls']",https://www.nytimes.com/2019/09/13/books/anne-rivers-siddons-dead.html,article,Obituary (Obit),"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.765}"
Antonio Brown Remains Eligible to Play for Patriots,2019-09-13,-0.4517,0.3333333333333333,Sports,The league will continue to investigate allegations of rape and sexual assault made against the receiver but will not prevent him from making his Patriots’ debut on Sunday against the Miami Dolphins.,"['Football', 'Sex Crimes']",https://www.nytimes.com/2019/09/13/sports/football/antonio-brown-nfl-patriots.html,article,News,"{'neg': 0.098, 'neu': 0.849, 'pos': 0.053, 'compound': -0.4517}"
"With Markers and Straws, Trump’s Campaign Sells Defiance as a Lifestyle",2019-09-13,0.2732,0.05555555555555555,U.S.,Trump-branded products celebrate the president’s urge to fight back.,"['United States Politics and Government', 'Hurricane Dorian (2019)', 'Campaign Finance', 'Straws (Drinking)', 'Social Media', 'Presidential Election of 2020']",https://www.nytimes.com/2019/09/13/us/politics/donald-trump-2020-campaign.html,article,News,"{'neg': 0.057, 'neu': 0.861, 'pos': 0.082, 'compound': 0.2732}"
"After Toronto, Is Tarantino Still the Oscar Favorite?",2019-09-13,-0.422,0.23249999999999998,Movies,"A lot of major contenders just debuted at film festivals, but none may be strong enough to dislodge the front-runner “Once Upon a Time … in Hollywood.”","['Movies', 'Telluride Film Festival', 'Toronto International Film Festival', 'Venice International Film Festival']",https://www.nytimes.com/2019/09/13/movies/quentin-tarantino-oscars.html,article,News,"{'neg': 0.062, 'neu': 0.907, 'pos': 0.031, 'compound': -0.422}"
Shane Gillis’s Jokes Went Too Far. Should That End His ‘S.N.L.’ Career?,2019-09-13,-0.25,0.10787878787878787,Arts,"The new cast member’s offensive remarks about Chinese people and others raise questions about the show’s vetting and what, if anything, the show should do with him.","['Comedy and Humor', 'Chinese-Americans', 'Discrimination', 'Television']",https://www.nytimes.com/2019/09/13/arts/shane-gillis-snl-racial-slur.html,article,News,"{'neg': 0.048, 'neu': 0.921, 'pos': 0.032, 'compound': -0.25}"
"Juanita Abernathy, a Force in the Civil Rights Movement, Dies at 87",2019-09-13,-0.6369,0.25047619047619046,U.S.,"The wife of the Rev. Dr. Ralph Abernathy, she was an activist in her own right in the struggle to end segregation and to secure the vote.","['Deaths (Obituaries)', 'Blacks', 'Black People', 'Segregation and Desegregation', 'Civil Rights Movement (1954-68)']",https://www.nytimes.com/2019/09/13/us/juanita-abernathy-dead.html,article,Obituary (Obit),"{'neg': 0.097, 'neu': 0.868, 'pos': 0.035, 'compound': -0.6369}"
