0,1
"['""adam west""', '""amber rose""', '""comey""', '""james comey""', '""bachelor in paradise""', '""uk election results""', '""comey testimony""', '""it comes at night""', '""e3""', '""mlb draft""', '""e3 2017""', '""kairos""', '""orange is the new black""', '""xxxtentacion""', '""my cousin rachel""', '""bonnaroo""', '""cavs score""', '""cleveland cavs""', '""warriors game""', '""katy perry""', '""golden state vs cavs""', '""golden state""', '""cavs""', '""warriors vs cavs""', '""powerball numbers""']","['""Breakout""', '""+1,400%""', '""+950%""', '""+900%""', '""+800%""', '""+750%""', '""+750%""', '""+650%""', '""+600%""', '""+600%""', '""+450%""', '""+250%""', '""+250%""', '""+180%""', '""+150%""', '""+140%""', '""+120%""', '""+110%""', '""+100%""', '""+100%""', '""+90%""', '""+80%""', '""+80%""', '""+80%""', '""+80%""']"
"['""scalise""', '""london fire""', '""steve scalise""', '""happy fathers day""', '""brooks koepka""', '""uss fitzgerald""', '""mexico vs portugal""', '""otto warmbier""', '""beyonce twins""', '""all eyez on me""', '""us open 2017""', '""drake bell""', '""juneteenth""', '""rough night""', '""austin jones""', '""us open""', '""all eyez on me movie""', '""47 meters down""', '""tupac""', '""conor mcgregor""', '""tupac movie""', '""cars 3""', '""beyonce""', '""whole foods""', '""botulism""']","['""Breakout""', '""+4,000%""', '""+3,850%""', '""+2,500%""', '""+1,350%""', '""+1,200%""', '""+1,200%""', '""+1,050%""', '""+900%""', '""+750%""', '""+650%""', '""+600%""', '""+550%""', '""+550%""', '""+550%""', '""+550%""', '""+500%""', '""+400%""', '""+350%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+180%""', '""+170%""']"
"['""bet awards 2017""', '""mexico vs russia""', '""nba awards""', '""tropical storm cindy""', '""nba trades""', '""nba draft""', '""moana cast""', '""jimmy butler""', '""lonzo ball""', '""transformers 5""', '""houston weather""', '""transformers""', '""johnny depp""', '""2017 nba draft""', '""summer solstice 2017""', '""moana""', '""nba""', '""glow netflix""', '""confederations cup""', '""bruno mars""', '""steam""', '""lakers""', '""paul george""']","['""+1,050%""', '""+650%""', '""+450%""', '""+450%""', '""+350%""', '""+250%""', '""+200%""', '""+190%""', '""+180%""', '""+180%""', '""+170%""', '""+160%""', '""+160%""', '""+150%""', '""+110%""', '""+100%""', '""+90%""', '""+80%""', '""+70%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""']"
"['""fireworks near me tonight""', '""fireworks near me""', '""stevie ryan""', '""happy 4th of july""', '""jay z new album""', '""pacquiao vs horn""', '""venus williams""', '""chris christie""', '""mexico vs germany""', '""gordon hayward""', '""fireworks""', '""4th of july""', '""jay z""', '""4th of july fireworks""', '""fourth of july""', '""okja""', '""eric benet""', '""wimbledon""', '""independence day""', '""baby driver""', '""illinois budget""', '""chris paul""', '""wimbledon 2017""', '""manny pacquiao fight 2017""', '""despicable me 3""']","['""+2,250%""', '""+1,700%""', '""+1,650%""', '""+1,600%""', '""+1,200%""', '""+1,150%""', '""+1,050%""', '""+850%""', '""+850%""', '""+750%""', '""+750%""', '""+650%""', '""+650%""', '""+650%""', '""+600%""', '""+500%""', '""+500%""', '""+450%""', '""+450%""', '""+450%""', '""+400%""', '""+350%""', '""+350%""', '""+300%""', '""+250%""']"
"['""rob kardashian""', '""blac chyna""', '""nelsan ellis""', '""maia campbell""', '""rob kardashian twitter""', '""blac chyna and rob""', '""amazon prime day""', '""full moon july 2017""', '""ufc 213""', '""college board""', '""aaron judge""', '""spiderman""', '""spider man homecoming""', '""avery bradley""', '""tom holland""', '""wimbledon""', '""wimbledon 2017""', '""amazon prime""', '""kid rock dead""', '""ufc""', '""james harden""', '""21 savage""', '""north korea""', '""tesla stock""', '""game of thrones season 7""']","['""Breakout""', '""+4,500%""', '""+2,400%""', '""+2,300%""', '""+1,750%""', '""+1,200%""', '""+1,000%""', '""+450%""', '""+400%""', '""+350%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+200%""', '""+200%""', '""+150%""', '""+120%""', '""+120%""', '""+80%""', '""+80%""', '""+60%""', '""+60%""', '""+50%""', '""+50%""']"
"['""brandon rogers""', '""sarahah""', '""martin landau""', '""hugh hefner""', '""jodie whittaker""', '""george romero""', '""hugh hefner dead""', '""ed sheeran game of thrones""', '""cosmo dinardo""', '""naomi scott""', '""r kelly""', '""wish upon""', '""mayweather vs mcgregor""', '""conor mcgregor""', '""mayweather mcgregor""', '""war for the planet of the apes""', '""planet of the apes""', '""bastille day""', '""krispy kreme""', '""floyd mayweather""', '""game of thrones""', '""beyonce twins""', '""hbo go""', '""game of thrones season 7""', '""floyd mayweather vs conor mcgregor""']","['""+3,200%""', '""+1,650%""', '""+1,450%""', '""+1,300%""', '""+1,300%""', '""+1,250%""', '""+1,200%""', '""+850%""', '""+650%""', '""+550%""', '""+550%""', '""+550%""', '""+400%""', '""+350%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+200%""', '""+200%""', '""+200%""', '""+190%""', '""+180%""']"
"['""chester bennington""', '""linkin park""', '""john heard""', '""linkin park lead singer""', '""kyrie irving""', '""usher""', '""british open leaderboard""', '""jordan spieth""', '""sean spicer""', '""hugh freeze""', '""oj simpson""', '""valerian and the city of a thousand planets""', '""british open""', '""john mccain""', '""mike shinoda""', '""chris cornell""', '""girls trip""', '""the open championship 2017""', '""kevin hart""', '""descendants 2""', '""derrick rose""', '""valerian""', '""dunkirk""', '""sarahah""', '""descendants 2 cast""']","['""Breakout""', '""Breakout""', '""+2,550%""', '""+2,500%""', '""+1,500%""', '""+1,050%""', '""+1,000%""', '""+1,000%""', '""+1,000%""', '""+950%""', '""+800%""', '""+800%""', '""+750%""', '""+650%""', '""+650%""', '""+650%""', '""+600%""', '""+500%""', '""+450%""', '""+450%""', '""+350%""', '""+350%""', '""+300%""', '""+250%""', '""+200%""']"
"['""sam shepard""', '""ohio state fair accident""', '""ohio state fair""', '""ufc 214""', '""jon jones""', '""ufc 214 results""', '""emoji movie""', '""the emoji movie""', '""jeff bezos""', '""atomic blonde""', '""tesla model 3""', '""north korea""', '""scaramucci""', '""rick and morty""', '""brock lesnar""', '""venezuela""', '""tesla""', '""anthony scaramucci""', '""solar eclipse""', '""trump twitter""', '""mlb trade rumors""']","['""+3,650%""', '""+2,500%""', '""+2,050%""', '""+900%""', '""+650%""', '""+600%""', '""+450%""', '""+450%""', '""+350%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+200%""', '""+150%""', '""+110%""', '""+80%""', '""+60%""', '""+60%""', '""+50%""', '""+40%""']"
"['""anna faris""', '""chris pratt""', '""glen campbell""', '""jay cutler""', '""laverne cox""', '""minnehaha academy""', '""crossfit games 2017""', '""nfl preseason""', '""kidnap""', '""google classroom""', '""solar eclipse""', '""neymar""', '""gmail login""', '""dallas cowboys""', '""weather radar""', '""usher""', '""bob barker""', '""chris cornell""']","['""+1,150%""', '""+1,000%""', '""+950%""', '""+950%""', '""+600%""', '""+450%""', '""+400%""', '""+300%""', '""+250%""', '""+100%""', '""+90%""', '""+80%""', '""+70%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""', '""+40%""']"
"['""charlottesville""', '""antifa""', '""heather heyer""', '""guam""', '""charlottesville va""', '""pga championship leaderboard""', '""ric flair""', '""meteor shower""', '""robert e lee""', '""rick and morty season 3 episode 4""', '""meteor shower august 2017""', '""pga championship""', '""ezekiel elliott""', '""pga leaderboard""', '""annabelle""', '""annabelle 2""', '""north korea""', '""solar eclipse glasses""', '""eclipse glasses""', '""pga championship tv coverage""', '""google classroom""', '""powerball winning numbers""', '""taylor swift""', '""north korea news""', '""powerball""']","['""+1,800%""', '""+1,300%""', '""+1,200%""', '""+1,050%""', '""+1,000%""', '""+850%""', '""+800%""', '""+750%""', '""+700%""', '""+700%""', '""+650%""', '""+500%""', '""+450%""', '""+450%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+250%""', '""+200%""', '""+170%""', '""+170%""', '""+170%""', '""+140%""', '""+140%""']"
