real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair
6/18/19,0.023560647,-0.020403012,0.091953929,-0.037851825,-0.005296496
6/25/19,-0.004480082,-0.006972,0.059454439,-0.117185132,-0.00605905
7/2/19,0.011966368,0.067516766,0.061068588,-0.088343521,-0.010492399
7/9/19,0.014997422,0.031905233,0.088168961,-0.0275953,-0.014203923
7/16/19,-0.006548895,-0.047374211,0.061287969,-0.020850529,-0.013702752
7/23/19,0.00140664,0.03666125,0.067200389,-0.058216905,-0.014555286
7/30/19,-0.026710958,-0.113459394,0.071576308,-0.258468967,-0.0151799
8/6/19,-0.007515757,-0.075883735,0.059035551,-0.006195616,0.01995526
8/13/19,-0.015507604,-0.031391275,0.074731556,-0.081896278,-0.086217861
8/20/19,-0.010032034,-0.016452667,0.084792729,-0.064975732,-0.006640103
8/27/19,0.029328932,0.034305161,0.078258662,-0.097131879,-0.049042777
9/3/19,0.014709603,-0.016091107,0.079260982,-0.08133463,-0.047300247
9/10/19,0.015505784,0.052720161,0.075128979,-0.076171824,0.152774729
9/17/19,-0.010560581,0.033053684,0.087655376,-0.106821119,-0.049804864
9/24/19,-0.004281094,-0.013945902,0.06184291,0.045594341,0.072239265
10/1/19,-0.009277211,-0.022,0.052201069,-0.040067319,-0.045846057
10/8/19,0.009056707,0.010374713,0.035615777,-0.08272466,-0.13233742
10/15/19,-0.001732897,0.012860571,0.082477141,-0.070846834,-0.040494686
10/22/19,0.006968602,0.011409375,0.063407707,-0.132601895,-0.12994113
10/29/19,0.014235378,-0.043836413,0.058924758,-0.136092006,-0.122327286
11/5/19,0.012061598,0.003836095,0.050154673,-0.00152912,0.008698051
11/12/19,0.01155691,-0.049027072,0.057917352,-0.181303689,-0.194270583
11/19/19,-0.004637386,0.062072159,0.085678228,-0.167042962,-0.02127278
11/26/19,0.006266708,0.038649432,0.080576534,-0.150802541,-0.033103788
12/3/19,-0.001297516,0.057816149,0.073300266,-0.023852414,0.079208308
12/10/19,0.004276466,0.007867284,0.07120705,-0.160171078,-0.163866155
12/17/19,0.0112356,0.036184667,0.07920072,-0.214673389,-0.164525614
12/24/19,0.006638795,0.1336504,0.087785142,0.088995062,0.183923739
12/31/19,-0.000362495,0.046561404,0.089688979,0.091081069,0.070490876
1/7/20,0.006553272,-0.059322222,0.054930465,-0.131172753,-0.035124602
1/14/20,0.017865893,0.050230409,0.100078163,-0.01721829,0.092987826
1/21/20,-0.012361964,-0.044825568,0.087941878,-0.138274139,-0.109310224
1/28/20,-0.025966139,0.004110881,0.080637841,0.073214989,0.12887115
2/4/20,0.029086151,0.005485795,0.090582444,-0.196407209,-0.039892506
2/11/20,0.010054058,-0.00757217,0.06286514,-0.103892126,-0.044089021
2/18/20,-0.013992283,0.002031013,0.061658906,-0.021973922,-0.045832289
2/25/20,-0.141012997,0.031222527,0.083694995,-0.185742012,-0.049170323
3/3/20,0.017607728,0.145436723,0.082318797,-0.089435416,-0.054305105
3/10/20,-0.115552657,0.011937278,0.047410111,-0.160608407,-0.049683628
3/17/20,-0.209223124,-0.008280349,0.081742178,-0.328419104,-0.044929897
3/24/20,0.1138247,-0.041238172,0.051071702,-0.256806534,-0.043907798
3/31/20,-0.027752009,0.034957396,0.103206912,-0.315751313,-0.043724485
4/7/20,-0.027676913,-0.011331472,0.090838345,-0.1828299,-0.114695718
4/14/20,0.131585493,0.00053641,0.068622137,-0.244984241,-0.050592654
4/21/20,-0.019651512,0.059068687,0.105302011,-0.165493015,-0.049994087
4/28/20,-0.002174198,0.004256354,0.087333008,-0.19477273,-0.048421745
5/5/20,0.024973162,0.026244944,0.057477494,-0.151454488,-0.061105524
5/12/20,-0.027269941,-0.032649468,0.043234939,-0.159031332,-0.098257745
5/19/20,0.031871445,-0.042402395,0.045253857,-0.154340615,-0.088921658
