date,vader_SA_daily_average,textblob_SA_daily_average
2017-03-07,0.02974285714285714,0.10803838332938859
2017-03-08,0.05274619289340102,0.10661717885893009
2017-03-09,0.022813807531380754,0.12593842911311529
2017-03-10,0.02528073394495413,0.12170393834085672
2017-03-11,-0.02143333333333333,0.1167700670335474
2017-03-12,0.1818567901234568,0.12231210176426223
2017-03-13,0.07437326203208557,0.12674850797845447
2017-03-14,0.06426782178217823,0.11528265390314539
2017-03-15,0.0382953488372093,0.12062199734251225
2017-03-16,0.025228395061728397,0.11545233013146271
2017-03-17,0.05774244897959184,0.13279957856364558
2017-03-18,-0.03278867924528302,0.1023824158022271
2017-03-19,0.05294047619047619,0.11749656428227853
2017-03-20,0.022640697674418602,0.11919697616390929
2017-03-21,0.027754010695187167,0.10294691568087286
2017-03-22,0.002214285714285715,0.09843651643466912
2017-03-23,0.024160747663551405,0.11060952481788593
2017-03-24,-0.03943881856540085,0.11651140279557246
2017-03-25,-0.008026041666666662,0.10669662465235379
2017-03-26,0.03623974358974359,0.10955998399748396
2017-03-27,-0.028892638036809817,0.11276465907984311
2017-03-28,0.012741798941798943,0.09449012164122234
2017-03-29,0.06350784313725491,0.12840313675975437
2017-03-30,0.05298303571428571,0.12880373270790998
2017-03-31,0.016138938053097344,0.11960202264958898
2017-04-01,0.039782568807339456,0.08772887238483566
2017-04-02,0.05898271604938271,0.1300091219773759
2017-04-03,0.07209401197604791,0.09995467295670458
2017-04-04,-0.005106470588235295,0.12386475274453211
2017-04-05,0.03180717488789238,0.12028915495287208
2017-04-06,0.01826,0.11442300763801795
2017-04-07,-0.02202277580071174,0.11753870409373711
2017-04-08,0.0013820754716981128,0.11048911679689978
2017-04-09,0.03376233766233767,0.10369929973826075
2017-04-10,0.02154754098360656,0.1139513081695769
2017-04-11,-0.0825301204819277,0.11603589978342556
2017-04-12,-0.0031056410256410276,0.11066879454119712
2017-04-13,0.024613,0.12467893973420756
2017-04-14,0.047354455445544556,0.11933648645298378
2017-04-15,-0.010736734693877549,0.11481649608152887
2017-04-16,-0.047984285714285715,0.11248662646876931
2017-04-17,-0.015169333333333335,0.1263303020641909
2017-04-18,0.03365864197530864,0.12096607849088004
2017-04-19,0.09796212121212121,0.1223240896475925
2017-04-20,0.014514999999999998,0.11799560132728419
2017-04-21,-0.019871844660194173,0.13392899633884373
2017-04-22,-0.018664130434782603,0.10785623257867044
2017-04-23,0.07566835443037975,0.13517322410360383
2017-04-24,0.00508411764705882,0.09935689669807313
2017-04-25,0.049766120218579235,0.11294070505599582
2017-04-26,0.048036842105263156,0.11326953748006376
2017-04-27,0.019999539170506914,0.11939317449155333
2017-04-28,0.052131707317073166,0.12934858071661204
2017-04-29,-0.05631134020618557,0.09297082715553502
2017-04-30,0.011746153846153852,0.11736101164347915
2017-05-01,0.03603315217391304,0.11437468969737989
2017-05-02,0.037395721925133685,0.13118717895790086
2017-05-03,0.15255962441314552,0.11767670601003931
2017-05-04,0.030640291262135924,0.12373223537968679
2017-05-05,0.046501626016260164,0.1253364614251301
2017-05-06,0.010676086956521742,0.08416765787553829
