real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0,bert,flair
11/21/2017,0.008479077,-0.04804734,0.081054597,-0.109238825,-0.054284109,0.2402,0.037800151,0.074349981,0.046707232,0.022017249,0.063021843,3.105959471,-0.047679816
11/28/2017,0.027798423,-0.036702273,0.080586503,-0.098893832,-0.039041179,0.183945,0.032296685,0.068833744,0.046745431,0.022395993,0.061062123,3.097364492,-0.143230521
12/5/2017,0.004010414,0.043864948,0.106947968,-0.064879042,-0.054264694,0.158296,0.029201307,0.060011746,0.047574152,0.022080455,0.061708284,3.077181823,-0.085752034
12/12/2017,0.013085486,-0.09123046,0.08657035,-0.213019344,-0.093334205,0.159505,0.027546168,0.054863196,0.04846351,0.023669748,0.061485017,3.046635341,-0.024346392
12/19/2017,0.004133463,0.022373684,0.106550965,-0.067624754,-0.010761401,0.169202,0.02636442,0.059015495,0.060493713,0.027946588,0.077696061,3.048189928,-0.00242255
12/26/2017,-0.00140943,0.066872727,0.057741789,0.193123621,0.197642622,0.196173,0.029466185,0.065879446,0.065975076,0.030774492,0.084059809,3.10217348,-0.015132037
1/2/2018,0.022796211,-0.006468333,0.0668451,-0.079790143,-0.107616336,0.239721,0.035288181,0.070465255,0.065696297,0.030664149,0.088626381,3.066802156,-0.064659849
1/9/2018,0.019661135,0.032674857,0.058776452,-0.01147723,0.030707555,0.156066,0.026189782,0.054444427,0.061156261,0.028329206,0.080142869,3.055958614,-0.018917766
1/16/2018,0.010299666,-0.015123899,0.054625064,-0.113775341,-0.135931393,0.210654,0.030622826,0.060147358,0.065772857,0.031267623,0.084094612,3.076937568,-0.040155546
1/23/2018,0.020475483,0.007185185,0.074297981,-0.031327361,0.010714246,0.159862,0.027300889,0.051350305,0.057169108,0.026078235,0.072210022,3.06833863,-0.058242085
1/30/2018,-0.042935297,0.067079592,0.086399484,-0.069641904,-0.164938182,0.17134,0.027600841,0.057189869,0.048642058,0.023494641,0.061996321,3.042567353,-0.096577787
2/6/2018,-0.054981832,-0.026676923,0.060726267,-0.050078721,0.020370137,0.145186,0.028055783,0.046990569,0.049780438,0.021887086,0.060617076,2.99888734,-0.188425227
2/13/2018,0.040781336,0.092600521,0.067250699,-0.060409711,0.022970564,0.158516,0.033952627,0.057183533,0.055699082,0.022970585,0.065815555,3.037492157,-0.041626117
2/20/2018,0.003580009,-0.017112834,0.065925564,0.027159487,0.078001187,0.171625,0.032796802,0.058781194,0.064392405,0.025007752,0.07509524,3.007722083,-0.058279012
2/27/2018,-0.031458477,0.078315882,0.072564744,-0.015041356,-0.036883689,0.178797,0.034697114,0.060551224,0.062680671,0.02646176,0.072659914,3.02552308,-0.055707811
3/6/2018,0.031484377,0.010957895,0.063027629,-0.007070272,-0.008334008,0.087207,0.020047554,0.035222166,0.053953082,0.020790508,0.05961545,2.966944878,-0.073243127
3/13/2018,-0.015602583,0.007611765,0.060489469,-0.059082383,-0.060534522,0.093946,0.022239421,0.035265945,0.053521008,0.018851546,0.062708446,2.951037071,-0.163041179
3/20/2018,-0.060056006,-0.056179899,0.067486084,-0.111037637,-0.041463207,0.044771,0.012869773,0.01916662,0.040455708,0.013894954,0.043500859,2.899944432,-0.191180767
3/27/2018,0.003541027,-0.054498876,0.055429626,-0.085043698,-0.076129422,0.109525,0.022253568,0.037009942,0.042339787,0.014906618,0.051853647,2.971561518,-0.182557448
