date (day),average_score,date (week),average_score,date (month),average_score,date (year),average_score
2019-05-17,0.040877202072538865,,,,,,
2019-05-18,-0.06905119047619047,,,,,,
2019-05-19,0.014284693877551017,,,,,,
2019-05-20,0.05142894736842105,,,,,,
2019-05-21,0.049878787878787884,,,,,,
2019-05-22,0.03509837837837838,,,,,,
2019-05-23,0.039335323383084576,,,,,,
2019-05-24,0.02706891191709844,,,,,,
2019-05-25,0.030522535211267608,,,,,,
2019-05-26,0.01046315789473684,,,,,,
2019-05-27,0.036703999999999994,,,,,,
2019-05-28,0.03142402597402597,,,,,,
2019-05-29,0.024991666666666672,,,,,,
2019-05-30,0.043232524271844666,,,,,,
2019-05-31,-5.970149253730962e-06,,,,,,
2019-06-01,-0.06773191489361702,,,,,,
2019-06-02,0.01860098039215686,,,,,,
2019-06-03,-0.014263190184049077,,,,,,
2019-06-04,-0.019384615384615386,,,,,,
2019-06-05,0.008303296703296709,,,,,,
2019-06-06,0.03684619565217391,,,,,,
2019-06-07,0.018271134020618557,,,,,,
2019-06-08,-0.05124705882352941,,,,,,
2019-06-09,0.021236458333333333,,,,,,
2019-06-10,-0.021061038961038964,,,,,,
2019-06-11,-0.05945365853658537,,,,,,
2019-06-12,-0.04239880952380952,,,,,,
2019-06-13,-0.013300531914893615,,,,,,
2019-06-14,-0.024541176470588233,,,,,,
2019-06-15,-0.09406296296296296,,,,,,
2019-06-16,-0.07032959183673469,,,,,,
2019-06-17,0.030389937106918237,,,,,,
2019-06-18,-0.008007831325301203,,,,,,
2019-06-19,-0.024504090909090906,,,,,,
2019-06-20,-0.0144051282051282,,,,,,
2019-06-21,0.0028928571428571436,,,,,,
2019-06-22,-0.03255348837209302,,,,,,
2019-06-23,0.11410754716981132,,,,,,
2019-06-24,0.013356164383561644,,,,,,
2019-06-25,0.002989999999999999,,,,,,
2019-06-26,-0.003134285714285718,,,,,,
2019-06-27,0.09064770642201835,,,,,,
2019-06-28,0.028648058252427187,,,,,,
2019-06-29,0.13445949367088608,,,,,,
2019-06-30,0.010517977528089887,,,,,,
2019-07-01,-0.06917631578947368,,,,,,
2019-07-02,0.060543712574850306,,,,,,
2019-07-03,-0.012669230769230768,,,,,,
2019-07-04,0.0467451923076923,,,,,,
2019-07-05,0.017683333333333336,,,,,,
2019-07-06,0.07435324675324675,,,,,,
2019-07-07,0.05916222222222223,,,,,,
2019-07-08,0.009404545454545452,,,,,,
2019-07-09,0.03744709302325581,,,,,,
2019-07-10,-0.03800679012345679,,,,,,
2019-07-11,0.024430232558139534,,,,,,
2019-07-12,-0.002831137724550897,,,,,,
2019-07-13,0.009056521739130439,,,,,,
2019-07-14,-0.08656823529411764,,,,,,
2019-07-15,-0.06827073170731707,,,,,,
2019-07-16,-0.060081052631578945,,,,,,
2019-07-17,-0.010544242424242423,,,,,,
2019-07-18,-0.04708465608465609,,,,,,
2019-07-19,-0.03809578313253012,,,,,,
2019-07-20,0.014124050632911394,,,,,,
2019-07-21,0.06869638554216868,,,,,,
2019-07-22,-0.045849218750000004,,,,,,
2019-07-23,0.026605625,,,,,,
2019-07-24,-0.022078014184397168,,,,,,
2019-07-25,-0.04993262032085562,,,,,,
2019-07-26,-0.009488095238095236,,,,,,
2019-07-27,-0.06724558823529413,,,,,,
2019-07-28,-0.09163,,,,,,
2019-07-29,-0.02596390977443609,,,,,,
2019-07-30,-0.09724727272727272,,,,,,
2019-07-31,0.023438764044943817,,,,,,
2019-08-01,0.03605358851674641,,,,,,
2019-08-02,-0.08234506172839506,,,,,,
2019-08-03,-0.12246363636363636,,,,,,
2019-08-04,-0.133185,,,,,,
2019-08-05,-0.16471944444444445,,,,,,
2019-08-06,-0.07901385542168674,,,,,,
2019-08-07,-0.010863690476190482,,,,,,
