real_date_trends_songs,vader_mean,vader_sum,vader_weighted_mean,vader_weighted_sum,textblob_mean,textblob_sum,textblob_weighted_mean,textblob_weighted_sum,date, value,day_of_week_x,change,percent_change,_merge,Open,High,Low,Close,Adj Close,Volume,day_of_week_y,change_VTI,percent_change_VTI,change_adj,percent_change_adj,nyt_vader_mean,nyt_vader_sum,nyt_textblob_mean,nyt_textblob_sum,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0
2/18/20,0.022876,0.5719,32.0264,800.66,0.037454545,0.936363636,35.43272727,885.8181818,2/21/20,28992.41,Friday,-405.67,-0.013992283,both,170.949997,171.029999,169.399994,169.889999,160.841507,2983500,Friday,-1.809998,-0.010653941,-1.713547,-0.010653637,-0.006802637,-6.4489,0.067504855,63.99460233,0.226734375,0.040533089,0.081837926,0.072746252,0.033435,0.092467113
2/25/20,-0.091504,-2.2876,-68.628,-1715.7,0,0,0,0,2/28/20,25409.36,Friday,-3583.05,-0.141012997,both,146.419998,150.589996,145.300003,150.440002,142.42746,22272400,Friday,-19.449997,-0.129287402,-18.414047,-0.129287196,-0.010018304,-10.399,0.06404277,66.47639568,0.21534898,0.041425498,0.084505831,0.069876706,0.031537769,0.089879949
3/3/20,0.065568,1.6392,32.8572,821.43,0.063166667,1.579166667,31.45833333,786.4583333,3/6/20,25864.78,Friday,455.42,0.017607728,both,148.979996,151.339996,147.119995,150.589996,142.569458,9947700,Friday,0.149994,0.000996042,0.141998,0.000995992,0.038315693,41.994,0.081455452,89.27517506,0.135216327,0.027323949,0.067832341,0.067534064,0.028963017,0.087425407
3/10/20,0.043732,1.0933,25.3186,632.965,0.109333333,2.733333333,74.69333333,1867.333333,3/13/20,23185.62,Friday,-2679.16,-0.115552657,both,132,135.929993,125,135.929993,128.690262,15351600,Friday,-14.660003,-0.107849656,-13.879196,-0.107849621,-0.028574555,-32.1178,0.06023978,67.70951264,0.02627551,0.022752883,0.037107514,0.057023014,0.028754715,0.070916179
3/17/20,-0.017616,-0.4404,-11.4504,-286.26,-0.004,-0.1,-2.933333333,-73.33333333,3/20/20,19173.98,Friday,-4011.64,-0.209223124,both,121.150002,122.660004,114.800003,115.190002,109.054878,12264900,Friday,-20.739991,-0.18005027,-19.635384,-0.180050488,0.002970383,3.5704,0.077231956,92.83281073,0.140732653,0.038981767,0.061240445,0.069537704,0.035684586,0.087927538
3/24/20,0.021196,0.5299,18.457,461.425,-0.002045455,-0.051136364,2.522727273,63.06818182,3/27/20,21636.78,Friday,2462.8,0.1138247,both,127.120003,130.509995,125.510002,126.93,120.76651,9731500,Friday,11.739998,0.092491909,11.711632,0.096977482,-0.017481785,-19.195,0.084422031,92.69539027,0.17150102,0.042341501,0.074192763,0.061962415,0.035116673,0.084786367
3/31/20,-0.017616,-0.4404,-2.29008,-57.252,0.02,0.5,9,225,4/3/20,21052.53,Friday,-584.25,-0.027752009,both,124.849998,126.040001,121.860001,123.379997,117.388893,6584400,Friday,-3.550003,-0.028772922,-3.377617,-0.028772884,-0.035699173,-38.8407,0.081531972,88.70678515,0.068957732,0.029404719,0.047900161,0.050332991,0.030976951,0.07212336
4/7/20,0.022296,0.5574,122.628,3065.7,0,0,0,0,4/10/20,,,,,left_only,,,,,,,,,,,,-0.025286019,-27.3089,0.069604359,75.17270797,0.165733333,0.035987402,0.066504608,0.065379716,0.031527605,0.084645917
4/14/20,-0.000596,-0.0149,48.6102,1215.255,0.072333333,1.808333333,103.6666667,2591.666667,4/17/20,24242.49,Friday,3189.96,0.131585493,both,142.710007,143.479996,141.080002,143.139999,136.189392,6411200,Friday,19.760002,0.138046683,18.800499,0.138046721,0.012053004,15.8497,0.080967765,106.4726113,0.145185567,0.0356355,0.071955743,0.078264471,0.033871408,0.094904647
4/21/20,-0.032296,-0.8074,-11.574,-289.35,0,0,0,0,4/24/20,23775.27,Friday,-467.22,-0.019651512,both,140.5,141.970001,139.259995,141.630005,134.752716,4403600,Friday,-1.509994,-0.01066154,-1.436676,-0.010661574,0.011873748,13.7498,0.086559718,100.2361537,0.169449485,0.033732473,0.066115054,0.082419302,0.035250299,0.101548879
