date,close,adj_close,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
8/22/17,125.360001,113.214119,0.373022222,0.059620968,0.116899018,0.058539772,0.073962349,3.155456811,0.155197099,,0.408807582,0.065721213,0.130373431,0.069662095,0.027017185,0.086848853,3.567788503,0.189120219,,1.8401442,1.128011509,1.020328649,1.071468016
8/29/17,127.269997,114.939049,0.36799596,0.062127928,0.117979683,0.061302242,0.076711446,3.178967272,0.093403259,,0.396537239,0.067396177,0.129740686,0.072096985,0.029403002,0.089611454,3.597207683,0.119135123,,1.839647694,1.14583398,1.022620402,1.070819479
9/5/17,126.489998,114.234596,0.350285859,0.066363853,0.127244062,0.060748939,0.076545377,3.165010553,0.033955598,,0.383354757,0.071760636,0.139622646,0.070777623,0.027918936,0.088496636,3.57460316,0.046745023,,1.835913374,1.124909027,1.021067312,1.07964363
9/12/17,128.600006,116.140175,0.329104,0.052677315,0.101965668,0.051733314,0.067865089,3.037390922,-0.084427893,,0.354982591,0.056811044,0.112414717,0.057199521,0.021919799,0.07559454,3.501605401,-0.098296587,,1.82472403,1.086644701,1.020608041,1.071813147
9/19/17,128.369995,116.432289,0.341446,0.055329582,0.107182308,0.063776224,0.081892807,3.107823427,-0.015403682,,0.372688555,0.059891981,0.118430613,0.070966977,0.025179386,0.091968311,3.58126016,-0.025925273,,1.626584321,1.093403497,1.01890064,1.070537554
9/26/17,129.520004,117.475311,0.289841,0.047484333,0.099113638,0.058145813,0.073660426,3.112787793,-0.019821762,,0.311998184,0.050641926,0.107071722,0.063941688,0.022790036,0.081848131,3.558436042,-0.025141923,,1.586159709,1.064588167,1.020721693,1.066111912
10/3/17,131.190002,118.990051,0.309464,0.050543002,0.107177389,0.069273556,0.083081199,3.115734484,-0.017476734,,0.341875021,0.055126739,0.118073727,0.07716577,0.027114036,0.093151994,3.578700434,-0.023880459,,1.605154532,1.074961111,1.021878912,1.06946155
10/10/17,131.360001,119.144218,0.353427,0.055529979,0.113759458,0.072304372,0.088652949,3.174756301,0.003453662,,0.386291298,0.061045334,0.125837877,0.079623055,0.029541409,0.098099367,3.647669546,-0.007603809,,1.598750681,1.072819303,1.023641617,1.073558575
10/17/17,132.419998,120.105675,0.346655,0.053293589,0.112509756,0.068081182,0.086384968,3.12419518,-0.034929102,,0.396180375,0.059974945,0.127368693,0.075012,0.029260864,0.095413436,3.60284944,-0.036194191,,1.610475143,1.058931415,1.02227701,1.074020507
10/24/17,132.639999,120.305183,0.387625,0.058356058,0.122693976,0.072764349,0.088113588,3.161588912,0.006455921,,0.448514066,0.066242617,0.139115795,0.081087353,0.031149034,0.099621854,3.63339635,-0.003650437,,1.660476449,1.077358914,1.02387697,1.084216133
