song,artist,counter
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,"{'wide': 9, 'choose': 7, 'new': 2, 'forbidden': 1, 'bring': 1, 'frozen': 1, 'provoke': 1, 'woo': 1, 'cheap': 1}"
Baddest,"Yung Bleu, Chris Brown & 2 Chainz","{'sexy': 11, 'new': 9, 'bring': 6, 'touched': 1, 'soft': 1, 'heard': 1, 'hear': 1, 'flew': 1}"
Knowing You,Kenny Chesney,"{'alive': 3, 'sit': 1}"
Memory,Kane Brown X blackbear,"{'ooh': 35, 'live': 5, 'slow': 5, 'healthy': 2, 'undo': 1, 'prove': 1, 'checked': 1}"
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,"{'new': 3, 'sure': 3, 'shined': 1, 'forget': 1}"
Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock","{'lose': 3, 'confuse': 3, 'prove': 3, 'breathe': 1, 'relate': 1, 'big': 1, 'heard': 1, 'promote': 1, 'entertain': 1, 'dangerous': 1, 'hot': 1, 'tried': 1, 'ran': 1}"
Pissed Me Off,Lil Durk,"{'live': 2, 'long': 1, 'hear': 1, 'lose': 1, 'happy': 1, 'hot': 1, 'different': 1}"
Woman,Doja Cat,"{'hear': 2, 'honest': 2, 'grow': 1, 'provide': 1, 'reciprocate': 1, 'protect': 1, 'prove': 1}"
Sand In My Boots,Morgan Wallen,"{'bring': 4, 'ask': 1, 'drank': 1}"
'Til You Can't,Cody Johnson,"{'long': 4, 'strong': 4, 'ask': 1, 'bring': 1, 'sorry': 1}"
Love Again,Dua Lipa,"{'believe': 9, 'afraid': 3, 'hear': 2, 'loud': 2, 'many': 2, 'spend': 1, 'hard': 1, 'broken': 1, 'live': 1}"
Whiskey And Rain,Michael Ray,"{'drown': 6, 'pour': 4, 'new': 1}"
One Mississippi,Kane Brown,"{'swear': 3, 'long': 1, 'many': 1}"
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,"{'argue': 2, 'big': 2, 'write': 1, 'heard': 1, 'celebrate': 1, 'fresh': 1, 'bought': 1, 'send': 1, 'dismiss': 1, 'attach': 1, 'ask': 1, 'flew': 1}"
Too Easy,Gunna & Future,"{'different': 6, 'easy': 5, 'relaxed': 3, 'remember': 1, 'updated': 1, 'proper': 1, 'presidential': 1}"
Tequila Little Time,Jon Pardi,"{'bring': 3, 'sit': 1, 'happen': 1}"
Whole Lotta Money,BIA Featuring Nicki Minaj,"{'allergic': 4, 'safer': 3, 'bring': 2, 'long': 2, 'cheap': 1, 'legal': 1, 'weak': 1, 'shut': 1, 'invest': 1, 'send': 1}"
2055,Sleepy Hallow,"{'big': 1, 'energize': 1, 'stuck': 1, 'sorry': 1, 'please': 1, 'different': 1}"
Maybach,42 Dugg Featuring Future,"{'big': 2, 'taught': 1, 'ask': 1, 'foreign': 1, 'extend': 1, 'sober': 1, 'pour': 1, 'muddy': 1, 'near': 1, 'slow': 1}"
WFM,Realestk,{'understand': 1}
Poke It Out,Wale Featuring J. Cole,"{'big': 4, 'late': 2, 'listen': 1, 'hard': 1, 'civic': 1, 'pray': 1, 'long': 1, 'winded': 1, 'new': 1, 'foreign': 1, 'live': 1, 'swear': 1, 'near': 1}"
Praise God,Kanye West,"{'new': 4, 'tame': 3, 'follow': 2, 'write': 1, 'woo': 1, 'piped': 1, 'kept': 1, 'tight': 1, 'polished': 1, 'publish': 1, 'forgive': 1, 'ask': 1, 'swung': 1, 'pray': 1}"
Freedom Was A Highway,Jimmie Allen & Brad Paisley,"{'ooh': 4, 'woo': 2, 'wore': 1}"
For Tonight,Giveon,"{'honest': 4, 'deny': 4, 'long': 3, 'closed': 3, 'become': 1, 'numb': 1}"
Thot Shit,Megan Thee Stallion,"{'hot': 4, 'live': 2, 'big': 2, 'toxic': 1, 'relate': 1, 'hear': 1, 'remember': 1, 'eat': 1, 'sing': 1, 'many': 1, 'apply': 1, 'argue': 1}"
Like A Lady,Lady A,"{'long': 3, 'live': 3, 'afraid': 1, 'polite': 1, 'ooh': 1, 'woo': 1}"
Get Into It (Yuh),Doja Cat,"{'thank': 1, 'big': 1}"
Scorpio,Moneybagg Yo,"{'hard': 5, 'violate': 2, 'ooh': 1, 'commit': 1, 'ask': 1, 'soft': 1, 'easy': 1, 'stubborn': 1, 'aggressive': 1, 'continued': 1}"
Big Energy,Latto,"{'big': 25, 'many': 6, 'ooh': 5, 'sing': 3, 'honest': 2, 'broke': 2, 'juicy': 1, 'entertain': 1, 'slow': 1, 'roleplay': 1}"
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,"{'fresh': 1, 'happy': 1, 'forget': 1, 'sing': 1, 'loud': 1, 'proud': 1}"
Money,Lisa,"{'spend': 3, 'choose': 2, 'pour': 1, 'listen': 1}"
No Friends In The Industry,Drake,"{'heard': 2, 'owe': 2, 'long': 2, 'compete': 1, 'ask': 1, 'attach': 1, 'dirty': 1, 'tolerate': 1, 'guilty': 1, 'new': 1, 'ooh': 1}"
