real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,BB_weight_bert,BB_weight_vader,BB_weight_textblob,BB_weight_flair
2/27/18,-0.031458477,0.078315882,0.072564744,-0.015041356,-0.036883689,0.341944048,0.060636828,0.050626361,-0.087533466
3/6/18,0.031484377,0.010957895,0.063027629,-0.007070272,-0.008334008,0.339013737,0.025618109,0.042209616,-0.097168922
3/13/18,-0.015602583,0.007611765,0.060489469,-0.059082383,-0.060534522,0.3343152,-0.029853308,0.029794498,-0.147475679
3/20/18,-0.060056006,-0.056179899,0.067486084,-0.111037637,-0.041463207,0.329304035,-0.026609418,0.022985177,-0.137442459
3/27/18,0.003541027,-0.054498876,0.055429626,-0.085043698,-0.076129422,0.341967179,0.006212594,0.023196992,-0.149076916
4/3/18,0.016695107,-0.002335404,0.074896172,-0.114086325,-0.122753833,0.335275407,0.0271771,0.031895298,-0.133397167
4/10/18,0.017544234,-0.004220606,0.075056553,-0.244622289,-0.160264634,0.341308905,0.092878069,0.041150962,-0.09016723
4/17/18,0.004202275,-0.007910363,0.076063765,0.004343169,0.044087743,0.339549335,0.05222511,0.042623076,-0.125488001
4/24/18,-0.006241982,0.048621637,0.081745177,-0.132593296,-0.142200242,0.333410061,0.059500123,0.04645862,-0.11895899
5/1/18,-0.002006388,0.05844491,0.08603713,-0.002191528,0.037286368,0.332903791,0.093426414,0.051700295,-0.093968421
5/8/18,0.022901055,0.046183246,0.0884018,-0.08656433,0.049968299,0.334128967,0.101290254,0.048487884,-0.154827723
5/15/18,-0.004696726,0.002731088,0.086785521,-0.095142215,-0.10741636,0.335018385,0.127174899,0.048403811,-0.115242801
5/22/18,0.001535162,-0.021034239,0.075215026,-0.058178634,-0.075520758,0.342320605,0.125659652,0.048371435,-0.169702424
5/29/18,-0.004785021,0.025211875,0.076561427,-0.165154866,-0.086734716,0.334150688,0.06054603,0.050919035,-0.198652443
6/5/18,0.026912061,0.08868866,0.099130094,0.01797118,0.067840306,0.337733952,0.131326016,0.053579754,-0.193564638
6/12/18,-0.009009393,0.070189848,0.058565326,-0.004973303,-0.069677618,0.345474186,0.122963885,0.046833762,-0.120562564
6/19/18,-0.020731145,0.011953927,0.075054333,-0.081735158,-0.052903409,0.343892701,0.14576729,0.04595426,-0.091542723
6/26/18,-0.012750804,0.010522086,0.096986795,-0.060321445,-0.012544195,0.342645091,0.073237076,0.032514189,-0.119104073
7/3/18,0.00756732,0.077327381,0.077410557,0.052061098,0.047568713,0.345901389,0.095859844,0.033141893,-0.184492442
7/10/18,0.022499731,0.115247647,0.059693813,0.001225726,0.043336733,0.348188796,0.161516877,0.029100828,-0.231002187
7/17/18,0.001544809,0.026026286,0.078880305,-0.05334842,-0.058002599,0.345784898,0.141563812,0.0291184,-0.210357071
7/24/18,0.015439043,0.024069182,0.064310366,-0.180188082,-0.107475944,0.35397452,0.227481238,0.040293639,-0.085700566
7/31/18,0.000452429,0.027459459,0.077515819,-0.223301945,-0.13447633,0.356983675,0.289775152,0.037910917,-0.058748446
8/7/18,-0.005903653,-0.016491837,0.067657692,-0.135149768,-0.000713104,0.355914167,0.337049254,0.033931031,-0.063924354
8/14/18,0.013875708,0.052265823,0.092106643,-0.152146374,-0.083670051,0.359190948,0.306761944,0.02650869,-0.09153353
8/21/18,0.004692841,-0.017276023,0.082429167,-0.009197429,-0.011916327,0.356063857,0.298151086,0.025135019,-0.11131897
8/28/18,0.006719477,-0.036069851,0.12842835,-0.522154979,-0.015754515,0.346755615,0.324861271,0.03400792,-0.090658933
9/4/18,-0.001862903,-0.001780357,0.065884461,0.015719633,0.038495743,0.346017388,0.249539522,0.023018605,-0.092813669
9/11/18,0.009104684,0.047637895,0.087866987,-0.043655689,0.017062369,0.340682743,0.285031477,0.025342667,-0.111022876
9/18/18,0.022017687,0.067759341,0.100474753,0.085354991,0.051030162,0.343804452,0.279619493,0.020244812,-0.124382533
9/25/18,-0.010778844,-0.051459116,0.073620536,-0.081504127,0.202793923,0.33868839,0.196947986,0.017217768,-0.164074606
10/2/18,-0.000425756,0.034822652,0.07634471,-0.121657549,-0.002115274,0.339452291,0.210789942,0.015947647,-0.141191239
10/9/18,-0.043688257,0.119041379,0.037588594,0.168413345,0.197906332,0.322513269,0.123396567,0.008410637,-0.160344196
10/16/18,0.004101109,-0.010311386,0.080905706,-0.042085369,0.004000096,0.33509217,0.059031145,0.01583905,-0.126377617
10/23/18,-0.030622995,0.007243169,0.070725212,-0.226339826,0.003788417,0.336244022,0.121626295,0.0144763,-0.10905403
10/30/18,0.023051083,-0.052768553,0.043175923,-0.162117785,0.204694295,0.345719366,0.103133903,0.008430701,-0.131795375
11/6/18,0.027644838,0.02768383,0.112025905,-0.17787992,0.00196335,0.347743,0.037583016,0.009438641,-0.157480686
11/13/18,-0.022668517,-0.004120225,0.057442504,-0.064866108,0.20131895,0.349428345,0.104003407,0.016927252,-0.164543471
11/20/18,-0.046416549,0.008131443,0.064536728,-0.197087607,0.009790904,0.350294103,0.177576164,0.016775154,-0.12042341
11/27/18,0.049044069,0.001864626,0.076858522,-0.193636689,0.000798694,0.346029053,0.170863839,0.027948683,-0.102607171
12/4/18,-0.04713241,-0.005678421,0.062310251,-0.153954933,-0.062879785,0.341814297,0.235119444,0.04158792,-0.055218031
12/11/18,-0.011968211,0.054846703,0.123927963,0.012998267,0.08343347,0.332474651,0.159875758,0.031615012,-0.150949446
12/18/18,-0.07374082,-0.006439181,0.067144183,-0.134641299,-0.15122148,0.338011124,0.276587824,0.043248211,-0.015314553
