song,artist,counter,Vader,TextBlob,VaderBoost,TextBlobBoost,VaderPolarity,TextBlobPolarity,VaderBoostPolarity,TextBlobBoostPolarity,,FullTextBlobPolarity,FullVaderPolarity
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,"{'wicked': 2, 'numb': 2, 'forget': 2, 'cornered': 1, 'addicted': 1, 'harder': 1}","{'pos': 0, 'neg': 7, 'neu': 2}","{'pos': 0, 'neg': 3, 'neu': 6}","{'pos': 0, 'neg': 4.5, 'neu': 1.0}","{'pos': 0, 'neg': 2.4, 'neu': 6.0}",0.230769231,0.67032967,0.196428571,0.717647059,,0.93923025,0.847936278
Wish I Knew You,The Revivalists,"{'bright': 6, 'knew': 5, 'beautiful': 4, 'long': 3, 'hot': 2, 'got': 2, 'lose': 1, 'bury': 1}","{'pos': 10, 'neg': 1, 'neu': 13}","{'pos': 12, 'neg': 0, 'neu': 12}","{'pos': 2.4, 'neg': 0.8, 'neu': 9.3}","{'pos': 14.4, 'neg': 0, 'neu': 9.6}",1.638297872,1.991735537,1.156862745,2.484536082,,1.151619573,1.247869868
Mask Off,Future,"{'big': 14, 'swear': 2, 'drank': 2, 'rob': 2, 'heard': 1, 'ask': 1, 'insane': 1, 'foreign': 1}","{'pos': 0, 'neg': 3, 'neu': 21}","{'pos': 0, 'neg': 2, 'neu': 22}","{'pos': 0, 'neg': 1.8, 'neu': 8.4}","{'pos': 0, 'neg': 2.4, 'neu': 23.2}",0.875518672,0.917012448,0.825242718,0.906614786,,0.968399885,0.95323005
Drinkin' Problem,Midland,"{'live': 2, 'sit': 2}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 2, 'neg': 0, 'neu': 2}","{'pos': 0, 'neg': 0, 'neu': 3.2}","{'pos': 1.6, 'neg': 0, 'neu': 1.6}",1,1.952380952,1,1.941176471,,1.020675396,0.922589726
These Heaux,Bhad Bhabie,"{'rid': 2, 'heard': 2, 'foreign': 1, 'compete': 1, 'new': 1, 'listen': 1, 'speak': 1, 'fresh': 1}","{'pos': 1, 'neg': 0, 'neu': 9}","{'pos': 2, 'neg': 1, 'neu': 7}","{'pos': 0.2, 'neg': 0, 'neu': 6.1}","{'pos': 2.4, 'neg': 1.2, 'neu': 5.6}",1.10989011,1.12345679,1.032258065,1.173913043,,0.951986032,1.075339026
Magnolia,Playboi Carti,"{'woo': 8, 'new': 6, 'ooh': 6, 'loose': 2, 'told': 1, 'big': 1, 'dirty': 1, 'hear': 1, 'spent': 1}","{'pos': 8, 'neg': 3, 'neu': 16}","{'pos': 6, 'neg': 1, 'neu': 20}","{'pos': 6.4, 'neg': 2.4, 'neu': 8.9}","{'pos': 7.2, 'neg': 0.8, 'neu': 16.4}",1.261780105,1.236966825,1.350877193,1.369942197,,1.031152648,0.978401728
Found You,Kane Brown,"{'random': 3, 'new': 3, 'lose': 3, 'broken': 1, 'dragged': 1, 'hard': 1, 'believe': 1}","{'pos': 0, 'neg': 5, 'neu': 8}","{'pos': 3, 'neg': 5, 'neu': 5}","{'pos': 0, 'neg': 3.4, 'neu': 3.0}","{'pos': 3.6, 'neg': 5.6, 'neu': 4.0}",0.618320611,0.801980198,0.476923077,0.793814433,,1,1.01332445
Versace On The Floor,Bruno Mars,"{'lose': 1, 'unzip': 1, 'afraid': 1, 'confuse': 1, 'seem': 1}","{'pos': 0, 'neg': 2, 'neu': 3}","{'pos': 0, 'neg': 1, 'neu': 4}","{'pos': 0, 'neg': 1.6, 'neu': 1.8}","{'pos': 0, 'neg': 1.2, 'neu': 3.2}",0.607843137,0.803921569,0.542857143,0.733333333,,1.093936806,1.059271804
444+222,Lil Uzi Vert,"{'breathe': 34, 'woo': 22, 'slow': 11, 'mixed': 2, 'impressed': 1, 'long': 1, 'new': 1, 'eat': 1, 'ooh': 1, 'foreign': 1}","{'pos': 23, 'neg': 0, 'neu': 52}","{'pos': 2, 'neg': 12, 'neu': 61}","{'pos': 18.4, 'neg': 0, 'neu': 40.5}","{'pos': 2.0, 'neg': 10.0, 'neu': 48.8}",1.441458733,0.863201094,1.45320197,0.86417657,,0.996124782,1.041313778
My Girl,Dylan Scott,"{'ooh': 3, 'got': 3, 'hear': 1, 'thank': 1, 'sing': 1, 'breathe': 1}","{'pos': 1, 'neg': 0, 'neu': 9}","{'pos': 0, 'neg': 0, 'neu': 10}","{'pos': 0.8, 'neg': 0, 'neu': 7.2}","{'pos': 0, 'neg': 0, 'neu': 8.0}",1.10989011,1,1.109589041,1,,1.030102348,1.124917817
