date,DJIA_percent_change,trends_bert_sum,trends_bert_mean,trends_vader_mean,trends_vader_sum,trends_textblob_mean,trends_textblob_sum,NYT_vader,NYT_textblob,NYT_flair,NYT_bert,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
11/26/19,0.006266708,-5.338243604,-0.213529744,0.021068,0.5267,-0.014666667,-0.366666667,0.038649432,0.080576534,-0.033103788,-0.150802541,0.195882,0.025887424,0.064593202,0.077164829,0.089078567,3.080135566,-0.103869627,0.231511299,0.029592411,0.07588264,0.08963688,0.036861111,0.10172576,3.317433665,-0.083748059,,1.170506389,1.10095055,1.026739058,1.049223688
12/3/19,-0.001297516,-8.505296946,-0.340211878,0.045752,1.1438,0.030666667,0.766666667,0.057816149,0.073300266,0.079208308,-0.023852414,0.214194,0.035111035,0.078773686,0.083827514,0.096455574,3.127672775,-0.09739463,0.237478587,0.038101505,0.088035929,0.095441162,0.038428101,0.108526248,3.376659282,-0.074876869,,1.06163093,1.122588305,1.031710491,1.059465014
12/10/19,0.004276466,-7.146196008,-0.28584784,-0.032068,-0.8017,-0.002545455,-0.063636364,0.007867284,0.07120705,-0.163866155,-0.160171078,0.219151,0.041881524,0.0990841,0.084272345,0.098830425,3.171663676,0.033927474,0.227880669,0.04095648,0.099679527,0.092104062,0.034441531,0.108297942,3.295140761,0.031987579,,1.079925738,1.140309519,1.027416145,1.058856971
12/17/19,0.0112356,-9.750225127,-0.390009005,0.021068,0.5267,-0.016,-0.4,0.036184667,0.07920072,-0.164525614,-0.214673389,0.268945,0.052500828,0.116701704,0.085260529,0.099370392,3.199409886,0.046242726,0.318305206,0.056197257,0.127274626,0.097421401,0.037654782,0.114518159,3.412234321,0.069350064,,1.127587322,1.146211262,1.029782807,1.058093812
12/24/19,0.006638795,-13.82345468,-0.552938187,0.012796,0.3199,0.0095,0.2375,0.1336504,0.087785142,0.183923739,0.088995062,0.285731,0.051603251,0.120603825,0.094221725,0.107999704,3.198695712,-0.00336899,0.34197317,0.055615898,0.131071407,0.107712605,0.041999615,0.123929724,3.421018177,0.001999171,,1.088159989,1.193724247,1.03748654,1.055065318
12/31/19,-0.000362495,-10.9931367,-0.439725468,0.012876,0.3219,0.015954545,0.398863636,0.046561404,0.089688979,0.070490876,0.091081069,0.385061,0.067971243,0.154437778,0.108192626,0.132727961,3.301214336,0.162443209,0.436174225,0.069784718,0.160067482,0.117433666,0.047019597,0.142811456,3.430805153,0.164522692,,1.239830043,1.228015694,1.034026338,1.072449034
1/7/20,0.006553272,-8.789302588,-0.351572104,-0.023976,-0.5994,0.012,0.3,-0.059322222,0.054930465,-0.035124602,-0.131172753,0.251766,0.045118425,0.085395681,0.079014745,0.090763711,3.083263608,-0.074003355,0.320888473,0.053610531,0.104769078,0.096873319,0.038666208,0.111035743,3.446365688,-0.061089273,,1.08775329,1.095361156,1.027590969,1.059121332
1/14/20,0.017865893,-8.155141771,-0.326205671,0.067296,1.6824,-0.024,-0.6,0.050230409,0.100078163,0.092987826,-0.01721829,0.215858,0.042254412,0.080510374,0.081297023,0.09455711,3.085751917,-0.104733192,0.270145956,0.048575991,0.094843303,0.096071827,0.041828463,0.112782955,3.399500513,-0.104167513,,1.071215101,1.105481902,1.027558366,1.059132534
1/21/20,-0.012361964,-3.329482317,-0.133179293,-0.052236,-1.3059,-0.028,-0.7,-0.044825568,0.087941878,-0.109310224,-0.138274139,0.255597,0.04849117,0.090684932,0.086387886,0.103464199,3.099629373,-0.116679299,0.30212587,0.053110494,0.100763376,0.097866944,0.043763944,0.118012977,3.320663566,-0.114725537,,1.062897855,1.077027554,1.030761626,1.061611595
1/28/20,-0.025966139,-10.52054709,-0.420821884,-0.148076,-3.7019,-0.002545455,-0.063636364,0.004110881,0.080637841,0.12887115,0.073214989,0.264312,0.046446006,0.092915266,0.073280892,0.087571756,3.0351445,-0.1642187,0.297238628,0.050728509,0.102257067,0.080888639,0.034921294,0.097915619,3.256103849,-0.180532558,,1.071615132,1.903747853,1.027721476,1.063416024
2/4/20,0.029086151,-8.803648293,-0.352145932,0.11988,2.997,0.070666667,1.766666667,0.005485795,0.090582444,-0.039892506,-0.196407209,0.247142,0.046975804,0.096111411,0.07197551,0.091278584,3.067600289,-0.119417603,0.273941326,0.050671587,0.104696276,0.079981832,0.036618991,0.102017054,3.272344564,-0.142038666,,1.075467933,1.084485992,1.029061149,1.060688956
2/11/20,0.010054058,-3.005879164,-0.120235167,0,0,0,0,-0.00757217,0.06286514,-0.044089021,-0.103892126,0.199536,0.039348362,0.075792389,0.071335077,0.09247645,3.046991084,-0.152397541,0.213107778,0.041700141,0.08229344,0.079067694,0.037482155,0.101284364,3.186208593,-0.183631183,,1.062895381,1.091708028,1.028317422,1.057711019
2/18/20,-0.013992283,-6.369029105,-0.254761164,0.022876,0.5719,0.037454545,0.936363636,0.002031013,0.061658906,-0.045832289,-0.021973922,0.25332,0.045459888,0.088333127,0.078356801,0.098807777,3.064915256,-0.167722626,0.266612192,0.047513041,0.09374421,0.079548321,0.039577935,0.103056327,3.272720005,-0.196870358,,1.135532516,1.106541963,1.030597198,1.063094059
2/25/20,-0.141012997,-9.041351736,-0.361654069,-0.091504,-2.2876,0,0,0.031222527,0.083694995,-0.049170323,-0.185742012,0.226717,0.042303812,0.085292061,0.069822957,0.089711063,3.027075085,-0.151031778,0.223051955,0.042386793,0.0867686,0.072118599,0.033032246,0.094362256,3.177180262,-0.193293404,,1.104337861,1.078135854,1.024840242,1.056730553
3/3/20,0.017607728,-10.49024749,-0.4196099,0.065568,1.6392,0.063166667,1.579166667,0.145436723,0.082318797,-0.054305105,-0.089435416,0.148187,0.028484294,0.06895204,0.067527168,0.087305611,2.973048487,-0.177052774,0.161167459,0.030868914,0.074765061,0.073742374,0.031926439,0.09686856,3.141164621,-0.217531306,,1.163461211,1.076918201,1.021285496,1.050286184
3/10/20,-0.115552657,-13.81355816,-0.552542326,0.043732,1.0933,0.109333333,2.733333333,0.011937278,0.047410111,-0.049683628,-0.160608407,0.041425,0.024004649,0.03884171,0.057226339,0.071126569,2.887607671,-0.195251508,0.05670114,0.027156087,0.04428145,0.063496181,0.03241015,0.079777107,3.174686708,-0.208053597,,1.111089234,1.085644238,1.024152772,1.052065142
3/17/20,-0.209223124,-8.951875687,-0.344302911,-0.017616,-0.4404,-0.004,-0.1,-0.008280349,0.081742178,-0.044929897,-0.328419104,0.157843,0.040988582,0.063902719,0.06871498,0.086867685,2.940084314,-0.272112395,0.177152683,0.04152842,0.066600848,0.074066578,0.038140675,0.093669015,3.103614196,-0.276336976,,1.114600822,1.078474911,1.026061304,1.067387747
3/24/20,0.1138247,-6.738013864,-0.269520555,0.021196,0.5299,-0.002045455,-0.051136364,-0.041238172,0.051071702,-0.043907798,-0.256806534,0.168081,0.041094952,0.071514584,0.059428028,0.081585931,2.955598134,-0.373304953,0.186799735,0.042018382,0.075327072,0.063241455,0.036456234,0.088077346,3.130927917,-0.394890304,,1.138472619,1.071740371,1.027942381,1.066352487
3/31/20,-0.027752009,-9.464674592,-0.378586984,-0.017616,-0.4404,0.02,0.5,0.034957396,0.103206912,-0.043724485,-0.315751313,0.072596,0.028471199,0.045796049,0.047515398,0.068547663,2.977262567,-0.358238401,0.099944656,0.029600772,0.049732984,0.050752387,0.031850617,0.07481713,3.234394393,-0.399620135,,1.082430477,1.078725843,1.027141087,1.053910718
4/7/20,-0.027676913,-9.328958511,-0.37315834,0.022296,0.5574,0,0,-0.011331472,0.090838345,-0.114695718,-0.1828299,0.174794,0.035852373,0.065191716,0.064408313,0.084018719,2.987582969,-0.247317148,0.176232348,0.034377171,0.06471136,0.069538939,0.033459284,0.090321159,3.242413177,-0.302383834,,1.117132852,1.063902768,1.024504746,1.05240319
4/14/20,0.131585493,-6.685454249,-0.26741817,-0.000596,-0.0149,0.072333333,1.808333333,0.00053641,0.068622137,-0.050592654,-0.244984241,0.146537,0.034515056,0.069129963,0.074608933,0.090645512,2.996217387,-0.363441842,0.171496968,0.034939754,0.072851535,0.082449301,0.035001838,0.100577508,3.212741707,-0.393914533,,1.08751818,1.039151896,1.024472439,1.050181498
4/21/20,-0.019651512,-13.70201081,-0.548080432,-0.032296,-0.8074,0,0,0.059068687,0.105302011,-0.049994087,-0.165493015,0.170073,0.03266912,0.063464494,0.07863912,0.097090417,2.999067438,-0.342341951,0.180624015,0.032006122,0.064582828,0.086686431,0.036442548,0.107501441,3.2586614,-0.393171635,,1.10217072,1.056316492,1.024408853,1.049262751
4/28/20,-0.002174198,-9.460952222,-0.378438089,-0.000708,-0.0177,0.044,1.1,0.004256354,0.087333008,-0.048421745,-0.19477273,0.174773,0.039046824,0.066233786,0.078663141,0.099497859,3.004050764,-0.409808223,0.221936247,0.045281703,0.078556025,0.089621053,0.042353138,0.112055201,3.227938432,-0.418886486,,1.068491582,1.066190392,1.032074113,1.059570054
5/5/20,0.024973162,-0.078905821,-0.003156233,0.009652,0.2413,0.024,0.6,0.026244944,0.057477494,-0.061105524,-0.151454488,0.238489,0.050032923,0.085345099,0.080865501,0.101795356,3.026287047,-0.377093022,0.265744115,0.053337926,0.093281975,0.089636357,0.040912399,0.113651018,3.301973567,-0.394791839,,1.057754825,1.143816496,1.036574764,1.067518403
5/12/20,-0.027269941,-2.773154318,-0.110926173,0.033024,0.8256,0.0565,1.4125,-0.032649468,0.043234939,-0.098257745,-0.159031332,0.258444,0.052219402,0.085495249,0.070621541,0.088330879,2.982937242,-0.37021022,0.272669718,0.054329982,0.090347224,0.078688878,0.038204569,0.099337873,3.263597388,-0.389312824,,1.064076252,1.053338401,1.031083783,1.062639362
5/19/20,0.031871445,-5.463549078,-0.218541963,0.017616,0.4404,0.032,0.8,-0.042402395,0.045253857,-0.088921658,-0.154340615,0.138951,0.037643714,0.06212471,0.068925082,0.085500175,2.968086267,-0.340325032,0.150706151,0.039442717,0.065834831,0.075869448,0.034787816,0.094793799,3.258369643,-0.363697685,,1.056087506,1.01758157,1.02883741,1.053863636
5/26/20,0.036163811,-2.624492109,-0.114108353,0.059043478,1.358,0.060869565,1.4,0.023069863,0.077617411,-0.115113322,-0.112893492,0.06644,0.026189033,0.044054798,0.056531821,0.073390988,2.931641304,-0.356440357,0.108204381,0.031795652,0.055055954,0.064202542,0.031818735,0.08276867,3.25707701,-0.392597971,,1.095703263,1.081574858,1.023526662,1.04494133
6/2/20,0.063733218,-11.19543123,-0.447817249,-0.081164,-2.0291,0.007333333,0.183333333,-0.083976647,0.078457931,-0.047624047,-0.202764466,0.1165,0.037292689,0.064505301,0.067481732,0.088997355,2.944918308,-0.315472444,0.138839459,0.041770656,0.073698838,0.075789116,0.034057823,0.099301909,3.272235199,-0.335023397,,1.898581738,1.761157494,1.027831131,1.053674889
6/9/20,-0.058793527,-10.26508343,-0.410603337,-0.005588,-0.1397,-0.027666667,-0.691666667,-0.053472121,0.049610776,-0.046026447,-0.174703086,0.211745,0.051847102,0.081819675,0.073455146,0.092819039,3.007993328,-0.284493121,0.238571901,0.058454775,0.092714699,0.082625175,0.038474337,0.104358843,3.36787768,-0.300357346,,1.8010834,1.779902431,1.032431902,1.059608882
6/16/20,0.010278508,-7.869861782,-0.314794471,-0.01,-0.25,0,0,-0.02168239,0.081110525,-0.037910779,-0.137784389,0.246502,0.056027172,0.093528498,0.070886949,0.088331057,3.036935917,-0.270480544,0.273069104,0.06090381,0.102574256,0.078416786,0.039400853,0.097867066,3.352777311,-0.29095728,,1.81427288,1.872196381,1.03491026,1.064216116
6/23/20,-0.034215118,-4.805511594,-0.192220464,0.002452,0.0613,0.005454545,0.136363636,-0.15518,0.04547573,-0.037520774,-0.311806485,0.216184,0.046837242,0.080323105,0.06851947,0.085856776,2.985914455,-0.27502354,0.244499545,0.052390056,0.090267999,0.07580305,0.035812927,0.095360783,3.303000359,-0.295274478,,1.821737703,1.865352761,1.034221835,1.055163097
