week_start,vader,textblob,textblob_full,vader_full,,WEIGHTED_spotify_bert_old,WEIGHTED_spotify_flair_old,DJIA,ICC,song_flair_old,song_bert_old
7/23/19,1.349398988,1.426732238,1.026758075,1.059123555,,3.418990684,0.011682058,26279.91,98.4,0.027012615,3.103769317
7/30/19,1.354345455,1.431411052,1.024894175,1.050907759,,3.368960595,-0.077223821,25962.44,98.4,-0.051049447,3.074800752
8/6/19,1.352178602,1.413126757,1.026606413,1.054014547,,3.286450947,-0.149893846,25777.9,89.8,-0.138252873,3.06038741
8/13/19,1.331449343,1.377899804,1.017507154,1.049921021,,3.218213969,-0.154433514,26118.02,89.8,-0.160658002,3.038004393
8/20/19,1.349052403,1.381636825,1.014880838,1.038717518,,3.19224656,-0.162754873,26909.43,89.8,-0.162927127,3.024346754
8/27/19,1.337275953,1.386618952,1.01165116,1.041246226,,3.235914386,-0.11308275,27110.8,89.8,-0.12496309,3.037565531
9/3/19,1.344694802,1.410676461,1.021493219,1.042747048,,3.458733641,-0.12096204,26807.77,93.2,-0.100971144,3.077190997
9/10/19,1.35329293,1.413450193,1.02925971,1.049591611,,3.341055306,-0.105236317,26573.04,93.2,-0.098649499,3.034543949
9/17/19,1.291251657,1.369091096,1.006078944,1.028401121,,3.295666068,-0.18486763,26164.04,93.2,-0.160457458,3.02266788
9/24/19,1.232266879,1.341240636,1.003355628,1.024349067,,3.242803792,-0.203123529,27024.8,93.2,-0.178207372,2.983521235
10/1/19,1.2466124,1.353987397,1.018402276,1.033762018,,3.302701939,-0.127668355,26788.1,95.5,-0.124667913,3.013474617
10/8/19,1.022713472,1.159362697,1.019914991,1.031408831,,3.152073342,-0.209417423,27071.42,95.5,-0.221060278,2.956760707
10/15/19,1.034613744,1.097833373,1.022911971,1.042834755,,3.313031623,-0.151977161,27492.63,95.5,-0.146405866,3.05180373
10/22/19,1.029304916,1.123468701,1.020634541,1.033756882,,3.275528904,-0.163381611,27691.49,95.5,-0.167483974,3.01811536
10/29/19,1.02286697,1.129585661,1.029248713,1.047442354,,3.295877329,-0.1361021,27934.02,95.5,-0.137484347,3.041199957
11/5/19,1.068424463,1.125076158,1.032414844,1.067767155,,3.363430872,-0.094925794,28121.68,96.8,-0.095451386,3.18004017
11/12/19,1.053391432,1.136606373,1.03364968,1.066336156,,3.305056633,-0.165038367,27502.81,96.8,-0.170825682,3.115259614
11/19/19,1.017027707,1.133695848,1.026269251,1.058457626,,3.286079477,-0.101279172,27881.72,96.8,-0.101865271,3.105913294
11/26/19,1.170506389,1.10095055,1.026739058,1.049223688,,3.317433665,-0.083748059,28267.16,96.8,-0.103869627,3.080135566
12/3/19,1.06163093,1.122588305,1.031710491,1.059465014,,3.376659282,-0.074876869,28515.45,96.8,-0.09739463,3.127672775
12/10/19,1.079925738,1.140309519,1.027416145,1.058856971,,3.295140761,0.031987579,28538.44,99.3,0.033927474,3.171663676
12/17/19,1.127587322,1.146211262,1.029782807,1.058093812,,3.412234321,0.069350064,28583.68,99.3,0.046242726,3.199409886
12/24/19,1.088159989,1.193724247,1.03748654,1.055065318,,3.421018177,0.001999171,28939.67,99.3,-0.00336899,3.198695712
12/31/19,1.239830043,1.228015694,1.034026338,1.072449034,,3.430805153,0.164522692,29196.04,99.3,0.162443209,3.301214336
1/7/20,1.08775329,1.095361156,1.027590969,1.059121332,,3.446365688,-0.061089273,28722.85,99.8,-0.074003355,3.083263608
1/14/20,1.071215101,1.105481902,1.027558366,1.059132534,,3.399500513,-0.104167513,28807.63,99.8,-0.104733192,3.085751917
1/21/20,1.062897855,1.077027554,1.030761626,1.061611595,,3.320663566,-0.114725537,29276.34,99.8,-0.116679299,3.099629373
1/28/20,1.071615132,1.903747853,1.027721476,1.063416024,,3.256103849,-0.180532558,29232.19,99.8,-0.1642187,3.0351445
2/4/20,1.075467933,1.084485992,1.029061149,1.060688956,,3.272344564,-0.142038666,27081.36,101,-0.119417603,3.067600289
2/11/20,1.062895381,1.091708028,1.028317422,1.057711019,,3.186208593,-0.183631183,25917.41,101,-0.152397541,3.046991084
2/18/20,1.135532516,1.106541963,1.030597198,1.063094059,,3.272720005,-0.196870358,25018.16,101,-0.167722626,3.064915256
2/25/20,1.104337861,1.078135854,1.024840242,1.056730553,,3.177180262,-0.193293404,21237.38,101,-0.151031778,3.027075085
3/3/20,1.163461211,1.076918201,1.021285496,1.050286184,,3.141164621,-0.217531306,20704.91,89.1,-0.177052774,2.973048487
3/10/20,1.111089234,1.085644238,1.024152772,1.052065142,,3.174686708,-0.208053597,21917.16,89.1,-0.195251508,2.887607671
3/17/20,1.114600822,1.078474911,1.026061304,1.067387747,,3.103614196,-0.276336976,22653.86,89.1,-0.272112395,2.940084314
3/24/20,1.138472619,1.071740371,1.027942381,1.066352487,,3.130927917,-0.394890304,23949.76,89.1,-0.373304953,2.955598134
3/31/20,1.082430477,1.078725843,1.027141087,1.053910718,,3.234394393,-0.399620135,23018.88,89.1,-0.358238401,2.977262567
4/7/20,1.117132852,1.063902768,1.024504746,1.05240319,,3.242413177,-0.302383834,24101.55,71.8,-0.247317148,2.987582969
4/14/20,1.08751818,1.039151896,1.024472439,1.050181498,,3.212741707,-0.393914533,23883.09,71.8,-0.363441842,2.996217387
4/21/20,1.10217072,1.056316492,1.024408853,1.049262751,,3.2586614,-0.393171635,23764.78,71.8,-0.342341951,2.999067438
4/28/20,1.068491582,1.066190392,1.032074113,1.059570054,,3.227938432,-0.418886486,24206.86,71.8,-0.409808223,3.004050764
5/5/20,1.057754825,1.143816496,1.036574764,1.067518403,,3.301973567,-0.394791839,24995.11,72.3,-0.377093022,3.026287047
5/12/20,1.064076252,1.053338401,1.031083783,1.062639362,,3.263597388,-0.389312824,25742.65,72.3,-0.37021022,2.982937242
5/19/20,1.056087506,1.01758157,1.02883741,1.053863636,,3.258369643,-0.363697685,27272.3,72.3,-0.340325032,2.968086267
5/26/20,1.095703263,1.081574858,1.023526662,1.04494133,,3.25707701,-0.392597971,26289.98,72.3,-0.356440357,2.931641304
6/2/20,1.898581738,1.761157494,1.027831131,1.053674889,,3.272235199,-0.335023397,26156.1,78.1,-0.315472444,2.944918308
6/9/20,1.8010834,1.779902431,1.032431902,1.059608882,,3.36787768,-0.300357346,25812.88,78.1,-0.284493121,3.007993328
6/16/20,1.81427288,1.872196381,1.03491026,1.064216116,,3.352777311,-0.29095728,25890.18,78.1,-0.270480544,3.036935917
6/23/20,1.821737703,1.865352761,1.034221835,1.055163097,,3.303000359,-0.295274478,26642.59,78.1,-0.27502354,2.985914455
