song,artist,position,average,standard_deviation
Funeral,Lil Wayne,{'2020-02-15': 88},88,0
Nice To Meet Ya,Niall Horan,"{'2020-02-15': 89, '2020-01-25': 95, '2020-01-18': 77, '2020-01-11': 75, '2020-01-04': 93, '2019-12-28': 82, '2019-12-21': 91, '2019-12-14': 85, '2019-12-07': 82, '2019-11-30': 71, '2019-11-23': 63, '2019-11-16': 78, '2019-11-09': 86, '2019-11-02': 90, '2019-10-19': 83}",82.66666667,8.46692913
Get Me,Justin Bieber Featuring Kehlani,{'2020-02-15': 93},93,0
U Played,MoneyBagg Yo Featuring Lil Baby,"{'2020-02-15': 98, '2020-02-08': 77, '2020-02-01': 82, '2020-01-25': 53, '2020-01-18': 60}",74,16.03745616
Camelot,NLE Choppa,"{'2020-02-15': 99, '2020-02-08': 92, '2020-01-25': 78, '2020-01-18': 72, '2020-01-11': 65, '2020-01-04': 74, '2019-12-28': 71, '2019-12-21': 66, '2019-12-14': 73, '2019-12-07': 65, '2019-11-30': 58, '2019-11-23': 51, '2019-11-16': 48, '2019-11-09': 55, '2019-11-02': 39, '2019-10-26': 40, '2019-10-19': 40, '2019-10-12': 42, '2019-10-05': 37, '2019-09-28': 40}",60.25,17.79290589
Panini,Lil Nas X,"{'2020-02-08': 49, '2020-02-01': 39, '2020-01-25': 28, '2020-01-18': 23, '2020-01-11': 17, '2020-01-04': 30, '2019-12-28': 29, '2019-12-21': 22, '2019-12-14': 17, '2019-12-07': 13, '2019-11-30': 11, '2019-11-23': 9, '2019-11-16': 8, '2019-11-09': 9, '2019-11-02': 6, '2019-10-26': 9, '2019-10-19': 10, '2019-10-12': 8, '2019-10-05': 6, '2019-09-28': 5, '2019-09-21': 14, '2019-09-14': 29, '2019-09-07': 40, '2019-08-31': 38, '2019-08-24': 36, '2019-08-17': 31, '2019-08-10': 31, '2019-08-03': 28, '2019-07-27': 29, '2019-07-20': 27, '2019-07-13': 22, '2019-07-06': 16}",21.53125,11.79773383
Graveyard,Halsey,"{'2020-02-08': 64, '2020-02-01': 54, '2020-01-25': 58, '2020-01-18': 43, '2020-01-11': 37, '2020-01-04': 61, '2019-12-28': 52, '2019-12-21': 48, '2019-12-14': 45, '2019-12-07': 34, '2019-11-30': 39, '2019-11-23': 42, '2019-11-16': 42, '2019-11-09': 50, '2019-11-02': 44, '2019-10-26': 43, '2019-10-19': 44, '2019-10-12': 60, '2019-10-05': 60, '2019-09-28': 45}",48.25,8.478649657
Blue World,Mac Miller,"{'2020-02-08': 78, '2020-02-01': 38}",58,20
Those Kinda Nights,Eminem Featuring Ed Sheeran,"{'2020-02-08': 86, '2020-02-01': 31}",58.5,27.5
Darkness,Eminem,"{'2020-02-08': 91, '2020-02-01': 28}",59.5,31.5
First Man,Camila Cabello,{'2020-02-08': 94},94,0
What If I Told You That I Love You,Ali Gatie,{'2020-02-08': 95},95,0
Unaccommodating,Eminem Featuring Young M.A,"{'2020-02-08': 97, '2020-02-01': 36}",66.5,30.5
You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold","{'2020-02-08': 99, '2020-02-01': 52}",75.5,23.5
Black Swan,BTS,{'2020-02-01': 57},57,0
Leaving Heaven,Eminem Featuring Skylar Grey,{'2020-02-01': 61},61,0
Complicated,Mac Miller,{'2020-02-01': 63},63,0
Hand Me Downs,Mac Miller,{'2020-02-01': 64},64,0
Premonition (Intro),Eminem,{'2020-02-01': 67},67,0
I Can See,Mac Miller,{'2020-02-01': 68},68,0
In Too Deep,Eminem,{'2020-02-01': 71},71,0
Woods,Mac Miller,{'2020-02-01': 75},75,0
Everybody,Logic,"{'2020-02-01': 80, '2017-05-27': 71, '2017-04-22': 59}",70,8.602325267
Marsh,Eminem,{'2020-02-01': 83},83,0
No Regrets,Eminem Featuring Don Toliver,{'2020-02-01': 84},84,0
Lock It Up,Eminem Featuring Anderson .Paak,{'2020-02-01': 89},89,0
Surf,Young Thug Featuring Gunna,"{'2020-02-01': 91, '2019-08-31': 61}",76,15
Stepdad,Eminem,{'2020-02-01': 93},93,0
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,"{'2020-02-01': 94, '2020-01-25': 70, '2020-01-18': 66, '2020-01-11': 63, '2020-01-04': 77, '2019-12-28': 76, '2019-12-21': 67, '2019-12-14': 60, '2019-12-07': 50, '2019-11-30': 57, '2019-11-23': 49, '2019-11-16': 51, '2019-11-09': 59, '2019-11-02': 50, '2019-10-26': 51, '2019-10-19': 50, '2019-10-12': 40, '2019-10-05': 25, '2019-09-28': 17, '2019-09-21': 8}",54,19.93238571
That's On Me,Yella Beezy,"{'2020-02-01': 100, '2018-12-22': 92, '2018-12-15': 80, '2018-12-08': 67, '2018-12-01': 56, '2018-11-24': 61, '2018-11-17': 57, '2018-11-10': 62, '2018-11-03': 86, '2018-10-27': 82, '2018-10-20': 90, '2018-10-13': 88, '2018-10-06': 69, '2018-09-29': 69, '2018-09-22': 81, '2018-09-15': 78, '2018-09-08': 73, '2018-09-01': 73, '2018-08-25': 86, '2018-08-18': 95, '2018-08-11': 92}",77.95238095,12.66595057
On Chill,Wale Featuring Jeremih,"{'2020-01-25': 46, '2020-01-18': 37, '2020-01-11': 39, '2020-01-04': 58, '2019-12-28': 46, '2019-12-21': 45, '2019-12-14': 35, '2019-12-07': 31, '2019-11-30': 29, '2019-11-23': 28, '2019-11-16': 22, '2019-11-09': 29, '2019-11-02': 24, '2019-10-26': 22, '2019-10-19': 27, '2019-10-12': 23, '2019-10-05': 29, '2019-09-28': 35, '2019-09-21': 48, '2019-09-14': 45, '2019-09-07': 55, '2019-08-31': 57, '2019-08-24': 86}",38.95652174,14.92729703
Talk,Khalid,"{'2020-01-25': 48, '2020-01-18': 42, '2020-01-11': 40, '2019-12-14': 49, '2019-12-07': 36, '2019-11-30': 32, '2019-11-23': 29, '2019-11-16': 24, '2019-11-09': 25, '2019-11-02': 22, '2019-10-26': 18, '2019-10-19': 17, '2019-10-12': 12, '2019-10-05': 12, '2019-09-28': 12, '2019-09-21': 12, '2019-09-14': 9, '2019-09-07': 8, '2019-08-31': 6, '2019-08-24': 5, '2019-08-17': 5, '2019-08-10': 5, '2019-08-03': 4, '2019-07-27': 5, '2019-07-20': 4, '2019-07-13': 3, '2019-07-06': 4, '2019-06-29': 4, '2019-06-22': 3, '2019-06-15': 3, '2019-06-08': 3, '2019-06-01': 5, '2019-05-25': 9, '2019-05-18': 12, '2019-05-11': 10, '2019-05-04': 8, '2019-04-27': 20, '2019-04-20': 18, '2019-04-13': 39, '2019-04-06': 40, '2019-03-30': 41, '2019-03-23': 42, '2019-03-16': 49, '2019-03-09': 55, '2019-03-02': 50, '2019-02-23': 44}",20.5,16.62861598
What If I Never Get Over You,Lady Antebellum,"{'2020-01-25': 49, '2020-01-18': 40, '2020-01-11': 49, '2020-01-04': 71, '2019-12-28': 68, '2019-12-21': 70, '2019-12-14': 67, '2019-12-07': 61, '2019-11-30': 47, '2019-11-23': 54, '2019-11-16': 77, '2019-11-09': 94, '2019-11-02': 94, '2019-10-26': 92, '2019-10-12': 99, '2019-10-05': 89, '2019-09-28': 96, '2019-08-31': 93, '2019-08-24': 96, '2019-08-10': 99, '2019-06-01': 86}",75.76190476,19.30927426
Lover,Taylor Swift,"{'2020-01-25': 50, '2020-01-18': 36, '2020-01-11': 34, '2020-01-04': 57, '2019-12-28': 48, '2019-12-21': 40, '2019-12-14': 32, '2019-12-07': 19, '2019-11-30': 15, '2019-11-23': 26, '2019-11-16': 43, '2019-11-09': 48, '2019-11-02': 38, '2019-10-26': 37, '2019-10-19': 34, '2019-10-12': 45, '2019-10-05': 44, '2019-09-28': 49, '2019-09-21': 49, '2019-09-14': 23, '2019-09-07': 10, '2019-08-31': 19}",36.18181818,12.55039428
Playing Games,Summer Walker,"{'2020-01-25': 54, '2020-01-18': 49, '2020-01-11': 54, '2020-01-04': 65, '2019-12-28': 56, '2019-12-21': 53, '2019-12-14': 52, '2019-12-07': 43, '2019-11-30': 36, '2019-11-23': 33, '2019-11-16': 29, '2019-11-09': 34, '2019-11-02': 26, '2019-10-26': 26, '2019-10-19': 16, '2019-10-12': 75, '2019-10-05': 74, '2019-09-28': 94, '2019-09-21': 99, '2019-09-07': 87}",52.75,23.02362917
Heat,Chris Brown Featuring Gunna,"{'2020-01-25': 59, '2020-01-18': 55, '2020-01-11': 53, '2020-01-04': 66, '2019-12-28': 59, '2019-12-21': 56, '2019-12-14': 55, '2019-12-07': 38, '2019-11-30': 37, '2019-11-23': 36, '2019-11-16': 39, '2019-11-09': 46, '2019-11-02': 43, '2019-10-26': 41, '2019-10-19': 47, '2019-10-12': 57, '2019-10-05': 57, '2019-09-28': 61, '2019-09-21': 70, '2019-09-14': 77}",52.6,11.2044634
Remember You Young,Thomas Rhett,"{'2020-01-25': 80, '2020-01-18': 64, '2020-01-11': 61, '2020-01-04': 82, '2019-12-28': 73, '2019-12-21': 63, '2019-12-14': 62, '2019-12-07': 62, '2019-11-30': 53, '2019-11-23': 53, '2019-11-16': 68, '2019-11-09': 81, '2019-11-02': 80, '2019-10-26': 83, '2019-10-19': 82, '2019-10-12': 91, '2019-10-05': 85, '2019-09-28': 100}",73.5,12.92822064
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,"{'2020-01-25': 82, '2020-01-18': 79, '2020-01-11': 89, '2020-01-04': 95, '2019-12-28': 80, '2019-12-21': 73, '2019-12-14': 83}",83,6.61167798
Eleven,Khalid,{'2020-01-25': 83},83,0
All Dat,Moneybagg Yo X Megan Thee Stallion,"{'2020-01-25': 84, '2020-01-18': 99, '2019-11-02': 70, '2019-10-26': 70}",80.75,11.98697209
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock","{'2020-01-25': 85, '2020-01-18': 73, '2020-01-11': 67, '2020-01-04': 78, '2019-12-28': 77, '2019-12-21': 69, '2019-12-14': 65, '2019-12-07': 67, '2019-11-30': 63, '2019-11-23': 60, '2019-11-16': 64, '2019-11-09': 78, '2019-11-02': 77, '2019-10-26': 82, '2019-10-19': 91}",73.06666667,8.690735808
Conversations In The Dark,John Legend,{'2020-01-25': 86},86,0
Protect da Brand,Moneybagg Yo Featuring DaBaby,{'2020-01-25': 89},89,0
Look At Her Now.,Selena Gomez,"{'2020-01-25': 92, '2019-11-23': 87, '2019-11-16': 62, '2019-11-09': 27}",67,25.73907535
Peta,Roddy Ricch Featuring Meek Mill,"{'2020-01-25': 97, '2020-01-18': 86, '2019-12-28': 90, '2019-12-21': 72}",86.25,9.120718173
223's,YNW Melly & 9lokknine,"{'2020-01-25': 98, '2020-01-18': 85, '2020-01-11': 78, '2020-01-04': 84, '2019-12-28': 91, '2019-12-21': 80, '2019-12-14': 74, '2019-12-07': 57, '2019-11-30': 56, '2019-11-23': 44, '2019-11-16': 35, '2019-11-09': 61, '2019-11-02': 45, '2019-10-26': 42, '2019-10-19': 37, '2019-10-12': 34, '2019-10-05': 38, '2019-09-28': 59, '2019-09-21': 87}",62.36842105,20.89374252
All I Want,Olivia Rodrigo,"{'2020-01-25': 100, '2020-01-18': 90}",95,5
Beautiful People,Ed Sheeran Featuring Khalid,"{'2020-01-18': 45, '2020-01-11': 42, '2019-12-21': 50, '2019-12-14': 36, '2019-12-07': 27, '2019-11-30': 23, '2019-11-23': 15, '2019-11-16': 15, '2019-11-09': 15, '2019-11-02': 13, '2019-10-26': 14, '2019-10-19': 15, '2019-10-12': 14, '2019-10-05': 15, '2019-09-28': 16, '2019-09-21': 23, '2019-09-14': 17, '2019-09-07': 20, '2019-08-31': 18, '2019-08-24': 20, '2019-08-17': 22, '2019-08-10': 23, '2019-08-03': 25, '2019-07-27': 19, '2019-07-20': 40, '2019-07-13': 26}",23.38461538,10.34808389
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,"{'2020-01-18': 46, '2020-01-11': 15, '2020-01-04': 34, '2019-12-28': 41, '2019-12-21': 39, '2019-12-14': 31, '2019-12-07': 20, '2019-11-30': 27, '2019-11-23': 21, '2019-11-16': 18, '2019-11-09': 21, '2019-11-02': 18, '2019-10-26': 16, '2019-10-19': 14, '2019-10-12': 10, '2019-10-05': 10, '2019-09-28': 10, '2019-09-21': 11, '2019-09-14': 5, '2019-09-07': 5, '2019-08-31': 4, '2019-08-24': 3, '2019-08-17': 1, '2019-08-10': 1, '2019-08-03': 1, '2019-07-27': 1, '2019-07-20': 1, '2019-07-13': 1, '2019-07-06': 1, '2019-06-29': 1, '2019-06-22': 1, '2019-06-15': 1, '2019-06-08': 1, '2019-06-01': 1, '2019-05-25': 1, '2019-05-18': 1, '2019-05-11': 1, '2019-05-04': 1, '2019-04-27': 1, '2019-04-20': 1, '2019-04-13': 1, '2019-04-06': 15, '2019-03-30': 32, '2019-03-23': 51, '2019-03-16': 83}",13.75555556,17.32712139
Suge,DaBaby,"{'2020-01-18': 50, '2020-01-11': 43, '2019-12-07': 44, '2019-11-30': 40, '2019-11-23': 37, '2019-11-16': 38, '2019-11-09': 39, '2019-11-02': 28, '2019-10-26': 27, '2019-10-19': 25, '2019-10-12': 20, '2019-10-05': 18, '2019-09-28': 20, '2019-09-21': 26, '2019-09-14': 18, '2019-09-07': 18, '2019-08-31': 17, '2019-08-24': 16, '2019-08-17': 15, '2019-08-10': 14, '2019-08-03': 12, '2019-07-27': 11, '2019-07-20': 10, '2019-07-13': 10, '2019-07-06': 7, '2019-06-29': 9, '2019-06-22': 8, '2019-06-15': 8, '2019-06-08': 9, '2019-06-01': 14, '2019-05-25': 16, '2019-05-18': 22, '2019-05-11': 27, '2019-05-04': 46, '2019-04-27': 51, '2019-04-20': 63, '2019-04-13': 87}",26.02702703,17.57683747
GANG GANG,JACKBOYS & Sheck Wes,"{'2020-01-18': 71, '2020-01-11': 48}",59.5,11.5
HAD ENOUGH,Don Toliver Featuring Quavo & Offset,"{'2020-01-18': 76, '2020-01-11': 52}",64,12
Enemies,Post Malone Featuring DaBaby,"{'2020-01-18': 89, '2020-01-11': 85, '2020-01-04': 99, '2019-12-28': 98, '2019-12-21': 83, '2019-12-14': 76, '2019-12-07': 71, '2019-11-30': 68, '2019-11-23': 66, '2019-11-16': 63, '2019-11-09': 73, '2019-11-02': 65, '2019-10-26': 63, '2019-10-19': 62, '2019-10-12': 52, '2019-10-05': 36, '2019-09-28': 26, '2019-09-21': 16}",66.16666667,21.985475
20/20,Lil Tjay,{'2020-01-18': 94},94,0
WHAT TO DO?,JACKBOYS Featuring Don Toliver,"{'2020-01-18': 100, '2020-01-11': 56}",78,22
Ran$om,Lil Tecca,"{'2020-01-11': 33, '2020-01-04': 50, '2019-12-28': 39, '2019-12-21': 31, '2019-12-14': 37, '2019-12-07': 25, '2019-11-30': 26, '2019-11-23': 17, '2019-11-16': 13, '2019-11-09': 13, '2019-11-02': 8, '2019-10-26': 7, '2019-10-19': 8, '2019-10-12': 4, '2019-10-05': 4, '2019-09-28': 6, '2019-09-21': 6, '2019-09-14': 4, '2019-09-07': 6, '2019-08-31': 5, '2019-08-24': 8, '2019-08-17': 10, '2019-08-10': 10, '2019-08-03': 19, '2019-07-27': 23, '2019-07-20': 26, '2019-07-13': 35, '2019-07-06': 51, '2019-06-29': 52, '2019-06-22': 65, '2019-06-15': 93}",23.67741935,20.93058743
Baby,Lil Baby & DaBaby,"{'2020-01-11': 47, '2019-12-14': 51, '2019-12-07': 39, '2019-11-30': 34, '2019-11-23': 34, '2019-11-16': 31, '2019-11-09': 38, '2019-11-02': 30, '2019-10-26': 29, '2019-10-19': 29, '2019-10-12': 26, '2019-10-05': 21, '2019-09-28': 27, '2019-09-21': 32, '2019-09-14': 26, '2019-09-07': 24, '2019-08-31': 24, '2019-08-24': 34, '2019-08-17': 45, '2019-08-10': 41, '2019-08-03': 42}",33.52380952,8.027447247
GATTI,"JACKBOYS, Pop Smoke & Travis Scott",{'2020-01-11': 69},69,0
Slow Dancing In The Dark,Joji,"{'2020-01-11': 80, '2020-01-04': 89, '2019-12-28': 88, '2019-12-21': 81, '2019-12-14': 87, '2019-12-07': 88, '2019-11-30': 85, '2019-11-23': 79, '2019-11-16': 69, '2019-11-09': 88, '2019-10-26': 98, '2019-10-19': 100, '2019-03-30': 96}",86.76923077,8.106539109
Death,Trippie Redd Featuring DaBaby,"{'2020-01-11': 91, '2020-01-04': 83, '2019-12-28': 74, '2019-12-21': 64, '2019-12-14': 64, '2019-12-07': 59, '2019-11-30': 97}",76,13.60672103
Yellow Hearts,Ant Saunders,"{'2020-01-11': 92, '2020-01-04': 94, '2019-12-28': 95, '2019-12-21': 95, '2019-12-14': 84, '2019-12-07': 90, '2019-11-30': 98, '2019-11-23': 81}",91.125,5.487201017
Let Me Know (I Wonder Why Freestyle),Juice WRLD,"{'2020-01-11': 94, '2020-01-04': 81, '2019-12-28': 78}",84.33333333,6.944222219
Loco Contigo,"DJ Snake, J. Balvin & Tyga","{'2020-01-11': 95, '2019-10-05': 96}",95.5,0.5
Candy,Doja Cat,"{'2020-01-11': 96, '2020-01-04': 96, '2019-12-28': 94, '2019-12-21': 86, '2019-12-14': 94, '2019-12-07': 87}",92.16666667,4.099457959
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin","{'2020-01-11': 98, '2019-11-23': 99, '2019-11-16': 94, '2019-11-09': 84, '2019-11-02': 71, '2019-10-26': 76, '2019-10-19': 70, '2019-10-12': 70, '2019-10-05': 62, '2019-09-28': 56, '2019-09-21': 57, '2019-09-14': 49, '2019-09-07': 58, '2019-08-31': 50, '2019-08-24': 44, '2019-08-17': 43, '2019-08-10': 44, '2019-08-03': 52}",65.38888889,18.05897404
Jingle Bells,Frank Sinatra,"{'2020-01-04': 43, '2019-01-05': 49}",46,3
Like It's Christmas,Jonas Brothers,"{'2020-01-04': 44, '2019-12-28': 53, '2019-12-21': 61, '2019-12-14': 72}",57.5,10.30776406
Baby It's Cold Outside,Dean Martin,{'2020-01-04': 45},45,0
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,"{'2020-01-04': 69, '2019-01-05': 42, '2018-12-29': 45}",52,12.08304597
Hate Me,Ellie Goulding & Juice WRLD,"{'2020-01-04': 79, '2019-12-28': 75, '2019-12-21': 60, '2019-12-14': 89, '2019-12-07': 84, '2019-11-30': 69, '2019-11-23': 68, '2019-11-16': 56, '2019-11-09': 68, '2019-11-02': 69, '2019-10-05': 87, '2019-09-28': 86, '2019-09-21': 83, '2019-09-14': 72, '2019-09-07': 80, '2019-08-31': 72, '2019-08-24': 73, '2019-08-17': 74, '2019-08-10': 74, '2019-08-03': 82}",75,8.590692638
Baby Sitter,DaBaby Featuring Offset,"{'2020-01-04': 92, '2019-12-28': 93, '2019-12-21': 84, '2019-12-14': 78, '2019-12-07': 75, '2019-11-30': 64, '2019-11-23': 64, '2019-11-16': 61, '2019-11-09': 65, '2019-11-02': 59, '2019-10-26': 72, '2019-10-19': 71, '2019-10-12': 79, '2019-10-05': 71, '2019-09-28': 81, '2019-09-21': 86, '2019-09-14': 88, '2019-09-07': 98, '2019-08-31': 97, '2019-08-24': 93}",78.55,12.175693
Lucid Dreams,Juice WRLD,"{'2019-12-28': 22, '2019-12-21': 8, '2019-04-06': 47, '2019-03-30': 40, '2019-03-23': 37, '2019-03-16': 36, '2019-03-09': 40, '2019-03-02': 41, '2019-02-23': 43, '2019-02-16': 34, '2019-02-09': 27, '2019-02-02': 25, '2019-01-26': 23, '2019-01-19': 22, '2019-01-12': 18, '2019-01-05': 27, '2018-12-29': 23, '2018-12-22': 19, '2018-12-15': 13, '2018-12-08': 10, '2018-12-01': 5, '2018-11-24': 6, '2018-11-17': 5, '2018-11-10': 4, '2018-11-03': 3, '2018-10-27': 3, '2018-10-20': 2, '2018-10-13': 3, '2018-10-06': 2, '2018-09-29': 4, '2018-09-22': 5, '2018-09-15': 7, '2018-09-08': 6, '2018-09-01': 6, '2018-08-25': 6, '2018-08-18': 7, '2018-08-11': 7, '2018-08-04': 8, '2018-07-28': 6, '2018-07-21': 7, '2018-07-14': 16, '2018-07-07': 3, '2018-06-30': 4, '2018-06-23': 6, '2018-06-16': 9, '2018-06-09': 15, '2018-06-02': 35, '2018-05-26': 74}",17.0625,15.69156654
Lights Up,Harry Styles,"{'2019-12-28': 64, '2019-11-30': 77, '2019-11-09': 95, '2019-11-02': 66, '2019-10-26': 17}",63.8,25.85652722
Dirty Iyanna,YoungBoy Never Broke Again,{'2019-12-28': 67},67,0
Famous Hoes,NLE Choppa,{'2019-12-28': 83},83,0
Cherry,Harry Styles,{'2019-12-28': 84},84,0
Prayed For You,Matt Stell,"{'2019-12-28': 87, '2019-12-21': 79, '2019-12-14': 75, '2019-12-07': 69, '2019-11-30': 61, '2019-11-23': 57, '2019-11-16': 49, '2019-11-09': 56, '2019-11-02': 41, '2019-10-26': 36, '2019-10-19': 36, '2019-10-12': 46, '2019-10-05': 54, '2019-09-28': 57, '2019-09-21': 71, '2019-09-14': 65, '2019-09-07': 74, '2019-08-31': 80, '2019-08-24': 82, '2019-08-17': 99}",63.7,16.98558212
She,Harry Styles,{'2019-12-28': 99},99,0
6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,"{'2019-12-28': 100, '2019-12-21': 78, '2019-12-14': 80, '2019-12-07': 60}",79.5,14.16862732
Legends,Kelsea Ballerini,"{'2019-12-21': 29, '2018-07-21': 94, '2018-07-07': 65, '2018-03-03': 87, '2018-02-24': 68, '2018-02-17': 75, '2018-02-10': 84, '2018-02-03': 87, '2018-01-27': 85, '2018-01-20': 83, '2018-01-13': 79, '2018-01-06': 97, '2017-12-30': 99, '2017-12-16': 98}",80.71428571,17.53945989
Robbery,Juice WRLD,"{'2019-12-21': 49, '2019-06-29': 98, '2019-06-22': 96, '2019-06-15': 87, '2019-06-08': 87, '2019-06-01': 84, '2019-05-25': 75, '2019-05-18': 74, '2019-05-11': 68, '2019-05-04': 66, '2019-04-27': 61, '2019-04-20': 59, '2019-04-13': 48, '2019-04-06': 37, '2019-03-30': 35, '2019-03-23': 27, '2019-03-16': 34, '2019-03-09': 28, '2019-03-02': 27}",60,23.61310965
Christmas Tree Farm,Taylor Swift,{'2019-12-21': 59},59,0
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,{'2019-12-21': 85},85,0
Empty,Juice WRLD,"{'2019-12-21': 87, '2019-04-06': 99, '2019-03-30': 67, '2019-03-23': 41}",73.5,21.97157254
Show Yourself,Idina Menzel & Evan Rachel Wood,"{'2019-12-21': 93, '2019-12-14': 70, '2019-12-07': 99}",87.33333333,12.49888884
We Were,Keith Urban,"{'2019-12-21': 94, '2019-12-14': 66, '2019-12-07': 68, '2019-11-30': 65, '2019-11-23': 70, '2019-11-16': 71, '2019-11-09': 72, '2019-11-02': 81, '2019-10-26': 97, '2019-10-05': 91, '2019-09-28': 99, '2019-09-14': 99, '2019-08-31': 96, '2019-08-24': 80, '2019-08-17': 90}",82.6,12.6322339
Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige,{'2019-12-21': 97},97,0
Big Stepper,Roddy Ricch,{'2019-12-21': 98},98,0
Cuban Links,Rod Wave & Kevin Gates,"{'2019-12-21': 99, '2019-12-14': 92, '2019-12-07': 95}",95.33333333,2.867441756
How Do You Sleep?,Sam Smith,"{'2019-12-14': 54, '2019-12-07': 40, '2019-11-30': 35, '2019-11-23': 31, '2019-11-16': 27, '2019-11-09': 30, '2019-11-02': 29, '2019-10-26': 28, '2019-10-19': 26, '2019-10-12': 24, '2019-10-05': 26, '2019-09-28': 29, '2019-09-21': 39, '2019-09-14': 32, '2019-09-07': 36, '2019-08-31': 36, '2019-08-24': 37, '2019-08-17': 37, '2019-08-10': 40, '2019-08-03': 29}",33.25,6.818174242
Time,Lil Baby Featuring Meek Mill,"{'2019-12-14': 58, '2019-12-07': 54, '2019-11-30': 43, '2019-11-23': 43, '2019-11-16': 41, '2019-11-09': 49, '2019-11-02': 42, '2019-10-26': 46, '2019-10-19': 52, '2019-10-12': 54, '2019-10-05': 49, '2019-09-28': 53, '2019-09-21': 64, '2019-09-14': 60, '2019-09-07': 72, '2019-08-31': 69, '2019-08-24': 65, '2019-08-17': 79, '2019-08-10': 67, '2019-07-27': 92, '2018-12-15': 62}",57.80952381,12.89746763
All The Good Girls Go To Hell,Billie Eilish,"{'2019-12-14': 79, '2019-12-07': 76, '2019-11-30': 76, '2019-11-23': 80, '2019-11-16': 89, '2019-04-20': 92, '2019-04-13': 46}",76.85714286,13.86082425
Who Needs Love,Trippie Redd,"{'2019-12-14': 82, '2019-12-07': 58}",70,12
Follow God,Kanye West,"{'2019-12-14': 91, '2019-12-07': 79, '2019-11-30': 52, '2019-11-23': 38, '2019-11-16': 37, '2019-11-09': 7}",50.66666667,27.94438922
F.N,Lil Tjay,"{'2019-12-14': 93, '2019-11-16': 81, '2019-11-09': 77, '2019-11-02': 63, '2019-10-26': 56, '2019-10-19': 84, '2019-10-12': 90, '2019-10-05': 82, '2019-09-28': 80, '2019-09-21': 80, '2019-09-14': 68, '2019-09-07': 70, '2019-08-31': 87, '2019-08-24': 92}",78.78571429,10.62462484
La Cancion,J Balvin & Bad Bunny,"{'2019-12-14': 100, '2019-12-07': 93, '2019-11-30': 86, '2019-11-23': 84, '2019-11-09': 97, '2019-11-02': 93, '2019-10-26': 95, '2019-09-14': 98}",93.25,5.285593628
Goodbyes,Post Malone Featuring Young Thug,"{'2019-12-07': 41, '2019-11-30': 33, '2019-11-23': 30, '2019-11-16': 21, '2019-11-09': 24, '2019-11-02': 17, '2019-10-26': 13, '2019-10-19': 12, '2019-10-12': 9, '2019-10-05': 9, '2019-09-28': 8, '2019-09-21': 3, '2019-09-14': 10, '2019-09-07': 12, '2019-08-31': 9, '2019-08-24': 9, '2019-08-17': 9, '2019-08-10': 8, '2019-08-03': 7, '2019-07-27': 7, '2019-07-20': 3}",14,9.918717275
One Thing Right,Marshmello & Kane Brown,"{'2019-12-07': 52, '2019-11-30': 45, '2019-11-23': 40, '2019-11-16': 40, '2019-11-09': 47, '2019-11-02': 36, '2019-10-26': 38, '2019-10-19': 43, '2019-10-12': 38, '2019-10-05': 47, '2019-09-28': 52, '2019-09-21': 55, '2019-09-14': 42, '2019-09-07': 59, '2019-08-31': 49, '2019-08-24': 46, '2019-08-17': 62, '2019-08-10': 55, '2019-08-03': 60, '2019-07-27': 82, '2019-07-20': 79, '2019-07-13': 76, '2019-07-06': 57}",52.17391304,12.71989942
Love Me More,Trippie Redd,"{'2019-12-07': 81, '2019-11-16': 79}",80,1
Lalala,Y2K & bbno$,"{'2019-12-07': 83, '2019-11-30': 91, '2019-11-23': 94, '2019-11-09': 92, '2019-11-02': 84, '2019-10-26': 80, '2019-10-19': 72, '2019-10-12': 72, '2019-10-05': 69, '2019-09-28': 63, '2019-09-21': 65, '2019-09-14': 55, '2019-09-07': 71, '2019-08-31': 64, '2019-08-24': 70, '2019-08-17': 71, '2019-08-10': 76, '2019-08-03': 77, '2019-07-27': 76, '2019-07-20': 68, '2019-07-13': 84}",75.0952381,9.970932812
Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,"{'2019-12-07': 85, '2019-11-30': 49}",67,18
Tip Of My Tongue,Kenny Chesney,"{'2019-12-07': 86, '2019-11-30': 74, '2019-11-23': 75, '2019-11-16': 73, '2019-11-09': 82, '2019-11-02': 74, '2019-10-26': 77, '2019-10-19': 77, '2019-10-12': 83, '2019-10-05': 76, '2019-09-28': 88, '2019-09-21': 89, '2019-09-14': 85, '2019-09-07': 88, '2019-08-31': 77, '2019-08-24': 77, '2019-08-17': 86, '2019-08-10': 98, '2019-08-03': 98, '2019-07-27': 83}",82.3,7.308214556
