song,artist,position,average,standard_deviation
Wild Side,Normani Featuring Cardi B,"{'2021-11-06': 46, '2021-10-30': 47, '2021-10-23': 52, '2021-10-16': 48, '2021-10-09': 51, '2021-10-02': 52, '2021-09-25': 59, '2021-09-18': 83, '2021-09-11': 71, '2021-09-04': 59, '2021-08-28': 57, '2021-08-21': 60, '2021-08-14': 61, '2021-08-07': 45, '2021-07-31': 14}",53.66666667,14.42066419
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,"{'2021-11-06': 47, '2021-10-30': 43, '2021-10-23': 36, '2021-10-16': 23, '2021-10-09': 71, '2021-10-02': 61, '2021-09-25': 65, '2021-09-18': 63, '2021-09-11': 22}",47.88888889,17.26553693
Gyalis,Capella Grey,"{'2021-11-06': 48, '2021-10-30': 46, '2021-10-23': 46, '2021-10-16': 38, '2021-10-09': 64, '2021-10-02': 64, '2021-09-25': 70, '2021-09-18': 82, '2021-09-11': 74, '2021-09-04': 74, '2021-08-28': 71, '2021-08-21': 78, '2021-08-14': 95}",65.38461538,15.98334932
I Was On A Boat That Day,Old Dominion,"{'2021-11-06': 49, '2021-10-30': 42, '2021-10-23': 37, '2021-10-16': 45, '2021-10-09': 49, '2021-10-02': 53, '2021-09-25': 56, '2021-09-18': 61, '2021-09-11': 67, '2021-09-04': 63, '2021-08-28': 67, '2021-08-21': 65, '2021-08-14': 64, '2021-08-07': 77, '2021-07-31': 90, '2021-07-24': 85, '2021-07-17': 91}",62.41176471,15.73702574
Family Ties,Baby Keem & Kendrick Lamar,"{'2021-11-06': 50, '2021-10-30': 52, '2021-10-23': 49, '2021-10-16': 46, '2021-10-09': 42, '2021-10-02': 38, '2021-09-25': 25, '2021-09-18': 44, '2021-09-11': 18}",40.44444444,11.01626183
Have Mercy,Chloe,"{'2021-11-06': 51, '2021-10-30': 53, '2021-10-23': 54, '2021-10-16': 50, '2021-10-09': 56, '2021-10-02': 56, '2021-09-25': 28}",49.71428571,9.11379309
Fair Trade,Drake Featuring Travis Scott,"{'2021-11-06': 52, '2021-10-30': 48, '2021-10-23': 39, '2021-10-16': 30, '2021-10-09': 23, '2021-10-02': 15, '2021-09-25': 11, '2021-09-18': 3}",27.625,16.61277746
Same Boat,Zac Brown Band,"{'2021-11-06': 53, '2021-10-30': 55, '2021-10-23': 64, '2021-10-16': 77, '2021-10-09': 95, '2021-10-02': 98}",73.66666667,17.92267341
My Boy,Elvie Shane,"{'2021-11-06': 54, '2021-10-30': 37, '2021-10-23': 28, '2021-10-16': 42, '2021-10-09': 66, '2021-10-02': 67, '2021-09-25': 74, '2021-09-18': 89, '2021-09-11': 87, '2021-09-04': 81, '2021-08-28': 70, '2021-08-21': 70, '2021-08-14': 83, '2021-08-07': 82, '2021-07-31': 95, '2021-07-24': 90, '2021-07-17': 88, '2021-07-03': 99}",72.33333333,19.87460691
Hurricane,Luke Combs,"{'2021-11-06': 55, '2021-10-30': 58, '2021-10-23': 50, '2021-10-16': 44, '2021-10-09': 34, '2021-10-02': 31, '2021-09-25': 26, '2021-09-18': 29, '2021-09-11': 6, '2017-07-29': 50, '2017-07-22': 46, '2017-07-15': 43, '2017-07-08': 43, '2017-07-01': 43, '2017-06-24': 37, '2017-06-17': 39, '2017-06-10': 40, '2017-06-03': 34, '2017-05-27': 31, '2017-05-20': 34, '2017-05-13': 41, '2017-05-06': 55, '2017-04-29': 51, '2017-04-22': 57, '2017-04-15': 55, '2017-04-08': 68, '2017-04-01': 66, '2017-03-25': 73, '2017-03-18': 74, '2017-03-11': 82, '2017-03-04': 96}",48.09677419,17.97373503
